,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Atlanta Hawks,2014-2015,Pero Antic,6-11,260,"July 29, 1982",1,
1,Atlanta Hawks,2014-2015,Kent Bazemore,6-5,201,"July 1, 1989",2,Old Dominion University
2,Atlanta Hawks,2014-2015,Elton Brand,6-8,275,"March 11, 1979",15,Duke University
3,Atlanta Hawks,2014-2015,DeMarre Carroll,6-8,215,"July 27, 1986",5,University of Missouri
4,Atlanta Hawks,2014-2015,Austin Daye,6-11,220,"June 5, 1988",5,Gonzaga University
5,Atlanta Hawks,2014-2015,Al Horford,6-10,245,"June 3, 1986",7,University of Florida
6,Atlanta Hawks,2014-2015,John Jenkins,6-4,215,"March 6, 1991",2,Vanderbilt University
7,Atlanta Hawks,2014-2015,Kyle Korver,6-7,212,"March 17, 1981",11,Creighton University
8,Atlanta Hawks,2014-2015,Shelvin Mack,6-3,203,"April 22, 1990",3,Butler University
9,Atlanta Hawks,2014-2015,Paul Millsap,6-8,246,"February 10, 1985",8,Louisiana Tech University
10,Atlanta Hawks,2014-2015,Mike Muscala,6-11,240,"July 1, 1991",1,Bucknell University
11,Atlanta Hawks,2014-2015,Adreian Payne,6-10,237,"February 19, 1991",0,Michigan State University
12,Atlanta Hawks,2014-2015,Dennis Schroder,6-1,172,"September 15, 1993",1,
13,Atlanta Hawks,2014-2015,Mike Scott,6-8,237,"July 16, 1988",2,University of Virginia
14,Atlanta Hawks,2014-2015,Thabo Sefolosha,6-7,220,"May 2, 1984",8,
15,Atlanta Hawks,2014-2015,Jeff Teague,6-2,186,"June 10, 1988",5,Wake Forest University
