,Team,Name,Height,Weight,Birthdate,Experience,College
0,Atlanta Hawks,Kent Bazemore,6-5,201,"July 1, 1989",4,Old Dominion University
1,Atlanta Hawks,DeAndre' Bembry,6-6,210,"July 4, 1994",0,Saint Joseph's University
2,Atlanta Hawks,Jose Calderon,6-3,200,"September 28, 1981",11,
3,Atlanta Hawks,Malcolm Delaney,6-3,190,"March 11, 1989",0,Virginia Polytechnic Institute and State University
4,Atlanta Hawks,Mike Dunleavy,6-9,230,"September 15, 1980",14,Duke University
5,Atlanta Hawks,Tim Hardaway,6-6,205,"March 16, 1992",3,University of Michigan
6,Atlanta Hawks,Dwight Howard,6-11,265,"December 8, 1985",12,
7,Atlanta Hawks,Kris Humphries,6-9,235,"February 6, 1985",12,University of Minnesota
8,Atlanta Hawks,Ersan Ilyasova,6-10,235,"May 15, 1987",8,
9,Atlanta Hawks,Ryan Kelly,6-11,230,"April 9, 1991",3,Duke University
10,Atlanta Hawks,Kyle Korver,6-7,212,"March 17, 1981",13,Creighton University
11,Atlanta Hawks,Paul Millsap,6-8,246,"February 10, 1985",10,Louisiana Tech University
12,Atlanta Hawks,Mike Muscala,6-11,240,"July 1, 1991",3,Bucknell University
13,Atlanta Hawks,Gary Neal,6-4,210,"October 3, 1984",6,Towson University
14,Atlanta Hawks,Lamar Patterson,6-5,225,"August 12, 1991",1,University of Pittsburgh
15,Atlanta Hawks,Dennis Schroder,6-1,172,"September 15, 1993",3,
16,Atlanta Hawks,Mike Scott,6-8,237,"July 16, 1988",4,University of Virginia
17,Atlanta Hawks,Thabo Sefolosha,6-7,220,"May 2, 1984",10,
18,Atlanta Hawks,Edy Tavares,7-3,260,"March 22, 1992",1,
19,Atlanta Hawks,Taurean Waller-Prince,6-8,220,"March 22, 1994",0,Baylor University
