,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Charlotte Hornets,2017-2018,Michael Kidd-Gilchrist,6-7,232,"September 26, 1993",5,University of Kentucky
1,Charlotte Hornets,2017-2018,Kemba Walker,6-1,172,"May 8, 1990",6,University of Connecticut
2,Charlotte Hornets,2017-2018,Cody Zeller,7-0,240,"October 5, 1992",4,Indiana University
3,Charlotte Hornets,2017-2018,Jeremy Lamb,6-5,185,"May 30, 1992",5,University of Connecticut
4,Charlotte Hornets,2017-2018,Frank Kaminsky,7-0,242,"April 4, 1993",2,University of Wisconsin
5,Charlotte Hornets,2017-2018,Nicolas Batum,6-8,200,"December 14, 1988",9,
6,Charlotte Hornets,2017-2018,Marvin Williams,6-9,237,"June 19, 1986",12,University of North Carolina
7,Charlotte Hornets,2017-2018,Dwight Howard,6-11,265,"December 8, 1985",13,
8,Charlotte Hornets,2017-2018,Treveon Graham,6-6,220,"October 29, 1993",1,Virginia Commonwealth University
9,Charlotte Hornets,2017-2018,Johnny O'Bryant,6-9,257,"June 1, 1993",3,Louisiana State University
10,Charlotte Hornets,2017-2018,Malik Monk,6-3,200,"February 4, 1998",0,University of Kentucky
11,Charlotte Hornets,2017-2018,Michael Carter-Williams,6-6,190,"October 10, 1991",4,Syracuse University
12,Charlotte Hornets,2017-2018,Dwayne Bacon,6-6,222,"August 30, 1995",0,Florida State University
13,Charlotte Hornets,2017-2018,Julyan Stone,6-6,200,"December 7, 1988",3,University of Texas at El Paso
14,Charlotte Hornets,2017-2018,Marcus Paige  (TW),6-1,175,"September 11, 1993",0,University of North Carolina
15,Charlotte Hornets,2017-2018,Mangok Mathiang  (TW),6-10,230,"October 8, 1992",0,University of Louisville
