,name,height,weight,bday,exp,college
0,Cameron Bairstow,6-9,250,"December 7, 1990",0,University of New Mexico
1,Aaron Brooks,6-0,161,"January 14, 1985",6,University of Oregon
2,Jimmy Butler,6-8,236,"September 14, 1989",3,Marquette University
3,Mike Dunleavy,6-9,230,"September 15, 1980",12,Duke University
4,Pau Gasol,7-0,250,"July 6, 1980",13,
5,Taj Gibson,6-9,225,"June 24, 1985",5,University of Southern California
6,Kirk Hinrich,6-4,190,"January 2, 1981",11,University of Kansas
7,Doug McDermott,6-8,225,"January 3, 1992",0,Creighton University
8,Nikola Mirotic,6-10,220,"February 11, 1991",0,
9,Nazr Mohammed,6-10,221,"September 5, 1977",16,University of Kentucky
10,E'Twaun Moore,6-4,191,"February 28, 1989",3,Purdue University
11,Joakim Noah,6-11,230,"February 25, 1985",7,University of Florida
12,Derrick Rose,6-3,190,"October 4, 1988",5,University of Memphis
13,Tony Snell,6-7,200,"November 10, 1991",1,University of New Mexico
