,name,height,weight,bday,exp,college
0,Channing Frye,6-11,255,"May 17, 1983",11,University of Arizona
1,Isaiah Thomas,5-9,185,"February 7, 1989",6,University of Washington
2,Jae Crowder,6-6,235,"July 6, 1990",5,Marquette University
3,Kevin Love,6-10,251,"September 7, 1988",9,"University of California, Los Angeles"
4,Iman Shumpert,6-5,220,"June 26, 1990",6,Georgia Institute of Technology
5,Tristan Thompson,6-9,238,"March 13, 1991",6,University of Texas at Austin
6,LeBron James,6-8,250,"December 30, 1984",14,
7,J.R. Smith,6-6,225,"September 9, 1985",13,
8,Ante Zizic,6-11,250,"January 4, 1997",0,
9,Jose Calderon,6-3,200,"September 28, 1981",12,
10,Jeff Green,6-9,235,"August 28, 1986",9,Georgetown University
11,Kyle Korver,6-7,212,"March 17, 1981",14,Creighton University
12,Cedi Osman,6-8,210,"April 8, 1995",0,
13,Derrick Rose,6-3,190,"October 4, 1988",8,University of Memphis
14,Dwyane Wade,6-4,220,"January 17, 1982",14,Marquette University
15,London Perrantes  (TW),6-2,200,"October 3, 1994",0,University of Virginia
16,John Holland  (TW),6-5,205,"November 6, 1988",0,Boston University
