,name,height,weight,bday,exp,college
0,Quincy Acy,6-7,240,"October 6, 1990",4,Baylor University
1,Justin Anderson,6-6,228,"November 19, 1993",1,University of Virginia
2,J.J. Barea,6-0,185,"June 26, 1984",10,Northeastern University
3,Harrison Barnes,6-8,210,"May 30, 1992",4,University of North Carolina
4,Ben Bentil,6-9,235,"March 29, 1995",0,Providence College
5,Andrew Bogut,7-0,260,"November 28, 1984",11,University of Utah
6,Nicolas Brussino,6-7,195,"March 2, 1993",0,
7,Quinn Cook,6-2,184,"March 23, 1993",0,Duke University
8,Seth Curry,6-2,185,"August 23, 1990",3,Duke University
9,Yogi Ferrell,6-0,180,"May 9, 1993",0,Indiana University
10,Dorian Finney-Smith,6-8,220,"May 4, 1993",0,University of Florida
11,Jonathan Gibson,6-2,185,"November 8, 1987",0,New Mexico State University
12,A.J. Hammons,7-0,260,"August 27, 1992",0,Purdue University
13,Devin Harris,6-3,192,"February 27, 1983",12,University of Wisconsin
14,Manny Harris,6-5,185,"September 21, 1989",3,University of Michigan
15,Pierre Jackson,5-10,180,"August 29, 1991",0,Baylor University
16,DeAndre Liggins,6-6,209,"March 31, 1988",3,University of Kentucky
17,Wesley Matthews,6-5,220,"October 14, 1986",7,Marquette University
18,Salah Mejri,7-1,245,"June 15, 1986",1,
19,Nerlens Noel,6-11,228,"April 10, 1994",2,University of Kentucky
20,Dirk Nowitzki,7-0,245,"June 19, 1978",18,
21,Dwight Powell,6-11,240,"July 20, 1991",2,Stanford University
22,Jarrod Uthoff,6-9,221,"May 19, 1993",0,University of Iowa
23,Deron Williams,6-3,200,"June 26, 1984",11,University of Illinois at Urbana-Champaign
