,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Indiana Pacers,2016-2017,Lavoy Allen,6-9,260,"February 4, 1989",5,Temple University
1,Indiana Pacers,2016-2017,Aaron Brooks,6-0,161,"January 14, 1985",8,University of Oregon
2,Indiana Pacers,2016-2017,Rakeem Christmas,6-9,250,"December 1, 1991",1,Syracuse University
3,Indiana Pacers,2016-2017,Monta Ellis,6-3,185,"October 26, 1985",11,
4,Indiana Pacers,2016-2017,Paul George,6-9,220,"May 2, 1990",6,"California State University, Fresno"
5,Indiana Pacers,2016-2017,Al Jefferson,6-10,289,"January 4, 1985",12,
6,Indiana Pacers,2016-2017,C.J. Miles,6-6,225,"April 18, 1987",11,
7,Indiana Pacers,2016-2017,Georges Niang,6-8,230,"June 17, 1993",0,Iowa State University
8,Indiana Pacers,2016-2017,Glenn Robinson,6-6,222,"January 8, 1994",2,University of Michigan
9,Indiana Pacers,2016-2017,Kevin Seraphin,6-9,285,"December 7, 1989",6,
10,Indiana Pacers,2016-2017,Lance Stephenson,6-5,230,"September 5, 1990",6,University of Cincinnati
11,Indiana Pacers,2016-2017,Rodney Stuckey,6-5,210,"April 21, 1986",9,Eastern Washington University
12,Indiana Pacers,2016-2017,Jeff Teague,6-2,186,"June 10, 1988",7,Wake Forest University
13,Indiana Pacers,2016-2017,Myles Turner,6-11,243,"March 24, 1996",1,University of Texas at Austin
14,Indiana Pacers,2016-2017,Joe Young,6-2,180,"June 27, 1992",1,University of Oregon
15,Indiana Pacers,2016-2017,Thaddeus Young,6-8,221,"June 21, 1988",9,Georgia Institute of Technology
