,name,height,weight,bday,exp,college
0,Julius Randle,6-9,250,"November 29, 1994",3,University of Kentucky
1,Larry Nance Jr.,6-9,230,"January 1, 1993",2,University of Wyoming
2,Brook Lopez,7-0,275,"April 1, 1988",9,Stanford University
3,Corey Brewer,6-9,186,"March 5, 1986",10,University of Florida
4,Luol Deng,6-9,220,"April 16, 1985",13,Duke University
5,Ivica Zubac,7-1,265,"March 18, 1997",1,
6,Jordan Clarkson,6-5,194,"June 7, 1992",3,University of Missouri
7,Brandon Ingram,6-9,190,"September 2, 1997",1,Duke University
8,Lonzo Ball,6-6,190,"October 27, 1997",0,"University of California, Los Angeles"
9,Kyle Kuzma,6-9,220,"July 24, 1995",0,University of Utah
10,Josh Hart,6-5,209,"March 6, 1995",0,Villanova University
11,Kentavious Caldwell-Pope,6-5,205,"February 18, 1993",4,University of Georgia
12,Tyler Ennis,6-3,194,"August 24, 1994",3,Syracuse University
13,Thomas Bryant,6-10,248,"July 31, 1997",0,Indiana University
14,Andrew Bogut,7-0,260,"November 28, 1984",12,University of Utah
15,Vander Blue,6-4,200,"July 17, 1992",2,Marquette University
