,Team,Name,Height,Weight,Birthdate,Experience,College
0,Milwaukee Bucks,Giannis Antetokounmpo,6-11,222,"December 6, 1994",2,
1,Milwaukee Bucks,Jerryd Bayless,6-3,200,"August 20, 1988",7,University of Arizona
2,Milwaukee Bucks,Michael Carter-Williams,6-6,190,"October 10, 1991",2,Syracuse University
3,Milwaukee Bucks,Chris Copeland,6-9,239,"March 17, 1984",3,University of Colorado
4,Milwaukee Bucks,Jared Cunningham,6-4,195,"May 22, 1991",3,Oregon State University
5,Milwaukee Bucks,Tyler Ennis,6-3,194,"August 24, 1994",1,Syracuse University
6,Milwaukee Bucks,John Henson,6-11,229,"December 28, 1990",3,University of North Carolina
7,Milwaukee Bucks,Damien Inglis,6-8,246,"May 20, 1995",0,
8,Milwaukee Bucks,O.J. Mayo,6-5,210,"November 5, 1987",7,University of Southern California
9,Milwaukee Bucks,Khris Middleton,6-8,234,"August 12, 1991",3,Texas A&M University
10,Milwaukee Bucks,Greg Monroe,6-11,265,"June 4, 1990",5,Georgetown University
11,Milwaukee Bucks,Steve Novak,6-10,225,"June 13, 1983",9,Marquette University
12,Milwaukee Bucks,Johnny O'Bryant,6-9,257,"June 1, 1993",1,Louisiana State University
13,Milwaukee Bucks,Jabari Parker,6-8,250,"March 15, 1995",1,Duke University
14,Milwaukee Bucks,Miles Plumlee,6-11,249,"September 1, 1988",3,Duke University
15,Milwaukee Bucks,Greivis Vasquez,6-6,217,"January 16, 1987",5,University of Maryland
16,Milwaukee Bucks,Rashad Vaughn,6-6,202,"August 16, 1996",0,"University of Nevada, Las Vegas"
