,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Milwaukee Bucks,2016-2017,Giannis Antetokounmpo,6-11,222,"December 6, 1994",3,
1,Milwaukee Bucks,2016-2017,Michael Beasley,6-9,235,"January 9, 1989",8,Kansas State University
2,Milwaukee Bucks,2016-2017,Malcolm Brogdon,6-5,215,"December 11, 1992",0,University of Virginia
3,Milwaukee Bucks,2016-2017,Matthew Dellavedova,6-4,198,"September 8, 1990",3,Saint Mary's College of California
4,Milwaukee Bucks,2016-2017,Spencer Hawes,7-1,245,"April 28, 1988",9,University of Washington
5,Milwaukee Bucks,2016-2017,John Henson,6-11,229,"December 28, 1990",4,University of North Carolina
6,Milwaukee Bucks,2016-2017,Terrence Jones,6-9,252,"January 9, 1992",4,University of Kentucky
7,Milwaukee Bucks,2016-2017,Thon Maker,7-1,216,"February 25, 1997",0,
8,Milwaukee Bucks,2016-2017,Khris Middleton,6-8,234,"August 12, 1991",4,Texas A&M University
9,Milwaukee Bucks,2016-2017,Greg Monroe,6-11,265,"June 4, 1990",6,Georgetown University
10,Milwaukee Bucks,2016-2017,Steve Novak,6-10,225,"June 13, 1983",10,Marquette University
11,Milwaukee Bucks,2016-2017,Jabari Parker,6-8,250,"March 15, 1995",2,Duke University
12,Milwaukee Bucks,2016-2017,Gary Payton,6-3,190,"December 1, 1992",0,Oregon State University
13,Milwaukee Bucks,2016-2017,Miles Plumlee,6-11,249,"September 1, 1988",4,Duke University
14,Milwaukee Bucks,2016-2017,Tony Snell,6-7,200,"November 10, 1991",3,University of New Mexico
15,Milwaukee Bucks,2016-2017,Mirza Teletovic,6-9,242,"September 18, 1985",4,
16,Milwaukee Bucks,2016-2017,Jason Terry,6-2,185,"September 15, 1977",17,University of Arizona
17,Milwaukee Bucks,2016-2017,Axel Toupane,6-7,197,"July 23, 1992",1,
18,Milwaukee Bucks,2016-2017,Rashad Vaughn,6-6,202,"August 16, 1996",1,"University of Nevada, Las Vegas"
