,Team,Name,Height,Weight,Birthdate,Experience,College
0,Minnesota Timberwolves,Jeff Adrien,6-7,245,"February 10, 1986",4,University of Connecticut
1,Minnesota Timberwolves,Anthony Bennett,6-8,245,"March 14, 1993",1,"University of Nevada, Las Vegas"
2,Minnesota Timberwolves,Corey Brewer,6-9,186,"March 5, 1986",7,University of Florida
3,Minnesota Timberwolves,Lorenzo Brown,6-5,189,"August 26, 1990",1,North Carolina State University
4,Minnesota Timberwolves,Chase Budinger,6-7,209,"May 22, 1988",5,University of Arizona
5,Minnesota Timberwolves,Troy Daniels,6-4,205,"July 15, 1991",1,Virginia Commonwealth University
6,Minnesota Timberwolves,Gorgui Dieng,6-11,241,"January 18, 1990",1,University of Louisville
7,Minnesota Timberwolves,Kevin Garnett,6-11,240,"May 19, 1976",19,
8,Minnesota Timberwolves,Justin Hamilton,7-0,260,"April 1, 1990",1,Louisiana State University
9,Minnesota Timberwolves,Robbie Hummel,6-8,215,"March 8, 1989",1,Purdue University
10,Minnesota Timberwolves,Sean Kilpatrick,6-4,210,"January 6, 1990",0,University of Cincinnati
11,Minnesota Timberwolves,Zach LaVine,6-5,189,"March 10, 1995",0,"University of California, Los Angeles"
12,Minnesota Timberwolves,Kevin Martin,6-7,199,"February 1, 1983",10,Western Carolina University
13,Minnesota Timberwolves,Shabazz Muhammad,6-6,223,"November 13, 1992",1,"University of California, Los Angeles"
14,Minnesota Timberwolves,Gary Neal,6-4,210,"October 3, 1984",4,Towson University
15,Minnesota Timberwolves,Arinze Onuaku,6-9,255,"July 13, 1987",1,Syracuse University
16,Minnesota Timberwolves,Adreian Payne,6-10,237,"February 19, 1991",0,Michigan State University
17,Minnesota Timberwolves,Nikola Pekovic,6-11,307,"January 3, 1986",4,
18,Minnesota Timberwolves,Miroslav Raduljica,7-0,250,"January 5, 1988",1,
19,Minnesota Timberwolves,Glenn Robinson,6-6,222,"January 8, 1994",0,University of Michigan
20,Minnesota Timberwolves,Ricky Rubio,6-4,194,"October 21, 1990",3,
21,Minnesota Timberwolves,Ronny Turiaf,6-10,249,"January 13, 1983",9,Gonzaga University
22,Minnesota Timberwolves,Andrew Wiggins,6-8,199,"February 23, 1995",0,University of Kansas
23,Minnesota Timberwolves,Mo Williams,6-1,198,"December 19, 1982",11,University of Alabama
24,Minnesota Timberwolves,Thaddeus Young,6-8,221,"June 21, 1988",7,Georgia Institute of Technology
