,name,height,weight,bday,exp,college
0,Arron Afflalo,6-5,210,"October 15, 1985",8,"University of California, Los Angeles"
1,Lou Amundson,6-9,220,"December 7, 1982",9,"University of Nevada, Las Vegas"
2,Thanasis Antetokounmpo,6-7,205,"July 17, 1992",0,
3,Carmelo Anthony,6-8,240,"May 29, 1984",12,Syracuse University
4,Jose Calderon,6-3,200,"September 28, 1981",10,
5,Cleanthony Early,6-8,210,"April 17, 1991",1,Wichita State University
6,Jimmer Fredette,6-2,195,"February 25, 1989",4,Brigham Young University
7,Langston Galloway,6-2,200,"December 9, 1991",1,Saint Joseph's University
8,Jerian Grant,6-4,195,"October 9, 1992",0,University of Notre Dame
9,Robin Lopez,7-0,255,"April 1, 1988",7,Stanford University
10,Kyle O'Quinn,6-10,250,"March 26, 1990",3,Norfolk State University
11,Kristaps Porzingis,7-3,240,"August 2, 1995",0,
12,Kevin Seraphin,6-9,285,"December 7, 1989",5,
13,Lance Thomas,6-8,235,"April 24, 1988",4,Duke University
14,Sasha Vujacic,6-7,195,"March 8, 1984",8,
15,Derrick Williams,6-8,240,"May 25, 1991",4,University of Arizona
