,Team,Name,Height,Weight,Birthdate,Experience,College
0,Orlando Magic,Dewayne Dedmon,7-0,245,"August 12, 1989",1,University of Southern California
1,Orlando Magic,Evan Fournier,6-7,205,"October 29, 1992",2,
2,Orlando Magic,Channing Frye,6-11,255,"May 17, 1983",8,University of Arizona
3,Orlando Magic,Aaron Gordon,6-9,220,"September 16, 1995",0,University of Arizona
4,Orlando Magic,Ben Gordon,6-3,200,"April 4, 1983",10,University of Connecticut
5,Orlando Magic,Willie Green,6-4,200,"July 28, 1981",11,University of Detroit Mercy
6,Orlando Magic,Maurice Harkless,6-9,215,"May 11, 1993",2,St. John's University
7,Orlando Magic,Tobias Harris,6-9,235,"July 15, 1992",3,University of Tennessee
8,Orlando Magic,Devyn Marble,6-6,200,"September 21, 1992",0,University of Iowa
9,Orlando Magic,Andrew Nicholson,6-9,250,"December 8, 1989",2,St. Bonaventure University
10,Orlando Magic,Kyle O'Quinn,6-10,250,"March 26, 1990",2,Norfolk State University
11,Orlando Magic,Victor Oladipo,6-4,210,"May 4, 1992",1,Indiana University
12,Orlando Magic,Elfrid Payton,6-4,185,"February 22, 1994",0,University of Louisiana at Lafayette
13,Orlando Magic,Luke Ridnour,6-2,175,"February 13, 1981",11,University of Oregon
14,Orlando Magic,Nikola Vucevic,7-0,260,"October 24, 1990",3,University of Southern California
