,name,height,weight,bday,exp,college
0,LaMarcus Aldridge,6-11,260,"July 19, 1985",9,University of Texas at Austin
1,Kyle Anderson,6-9,230,"September 20, 1993",1,"University of California, Los Angeles"
2,Matt Bonner,6-10,235,"April 5, 1980",11,University of Florida
3,Rasual Butler,6-7,215,"May 23, 1979",12,La Salle University
4,Boris Diaw,6-8,250,"April 16, 1982",12,
5,Tim Duncan,6-11,250,"April 25, 1976",18,Wake Forest University
6,Manu Ginobili,6-6,205,"July 28, 1977",13,
7,Danny Green,6-6,215,"June 22, 1987",6,University of North Carolina
8,Kawhi Leonard,6-7,230,"June 29, 1991",4,San Diego State University
9,Boban Marjanovic,7-3,290,"August 15, 1988",0,
10,Kevin Martin,6-7,199,"February 1, 1983",11,Western Carolina University
11,Ray McCallum,6-3,190,"June 12, 1991",2,University of Detroit Mercy
12,Andre Miller,6-3,200,"March 19, 1976",16,University of Utah
13,Patty Mills,6-0,185,"August 11, 1988",6,Saint Mary's College of California
14,Tony Parker,6-2,185,"May 17, 1982",14,
15,Jonathon Simmons,6-6,195,"September 14, 1989",0,University of Houston
16,David West,6-9,250,"August 29, 1980",12,Xavier University
