,Team,Season,Name,Height,Weight,Birthdate,Experience,College
0,Toronto Raptors,2015-2016,Anthony Bennett,6-8,245,"March 14, 1993",2,"University of Nevada, Las Vegas"
1,Toronto Raptors,2015-2016,Bismack Biyombo,6-9,255,"August 28, 1992",4,
2,Toronto Raptors,2015-2016,Bruno Caboclo,6-9,218,"September 21, 1995",1,
3,Toronto Raptors,2015-2016,DeMarre Carroll,6-8,215,"July 27, 1986",6,University of Missouri
4,Toronto Raptors,2015-2016,DeMar DeRozan,6-7,221,"August 7, 1989",6,University of Southern California
5,Toronto Raptors,2015-2016,James Johnson,6-9,250,"February 20, 1987",6,Wake Forest University
6,Toronto Raptors,2015-2016,Cory Joseph,6-3,193,"August 20, 1991",4,University of Texas at Austin
7,Toronto Raptors,2015-2016,Kyle Lowry,6-0,205,"March 25, 1986",9,Villanova University
8,Toronto Raptors,2015-2016,Lucas Nogueira,7-0,241,"July 26, 1992",1,
9,Toronto Raptors,2015-2016,Patrick Patterson,6-9,230,"March 14, 1989",5,University of Kentucky
10,Toronto Raptors,2015-2016,Norman Powell,6-4,215,"May 25, 1993",0,"University of California, Los Angeles"
11,Toronto Raptors,2015-2016,Terrence Ross,6-7,206,"February 5, 1991",3,University of Washington
12,Toronto Raptors,2015-2016,Luis Scola,6-9,240,"April 30, 1980",8,
13,Toronto Raptors,2015-2016,Jason Thompson,6-11,250,"July 21, 1986",7,Rider University
14,Toronto Raptors,2015-2016,Jonas Valanciunas,7-0,265,"May 6, 1992",3,
15,Toronto Raptors,2015-2016,Delon Wright,6-5,183,"April 26, 1992",0,University of Utah
