,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Dennis Schroder,24,21,21,32.0,8.1,17.5,.462,1.2,3.7,.325,6.9,13.9,.498,.496,2.9,3.3,.870,0.8,2.1,2.9,6.5,1.1,0.0,2.9,1.9,20.2
1,Taurean Waller-Prince,23,23,23,30.6,4.8,11.3,.421,1.7,4.0,.418,3.1,7.4,.424,.494,1.0,1.4,.697,0.9,4.2,5.1,2.3,1.3,0.5,2.3,2.2,12.2
2,Kent Bazemore,28,23,23,28.4,4.0,10.3,.392,1.3,3.7,.365,2.7,6.6,.408,.458,2.8,3.5,.802,0.4,4.0,4.4,3.3,1.9,0.5,2.4,2.0,12.3
3,Marco Belinelli,31,23,0,25.6,4.0,9.8,.407,2.0,5.0,.400,2.0,4.8,.414,.509,2.0,2.2,.940,0.2,2.0,2.2,2.6,1.2,0.0,1.0,0.8,12.0
4,Dewayne Dedmon,28,20,20,24.4,4.6,7.7,.601,0.7,1.5,.483,3.9,6.2,.629,.647,1.2,1.6,.719,2.0,5.8,7.8,1.4,0.4,0.9,1.8,3.0,11.1
5,John Collins,20,21,4,23.0,4.9,8.3,.592,0.0,0.0,.000,4.9,8.2,.595,.592,1.7,2.2,.766,3.1,4.0,7.1,0.8,0.7,0.9,1.5,3.7,11.5
6,Mike Muscala,26,9,5,22.4,2.3,5.7,.412,0.7,2.1,.316,1.7,3.6,.469,.471,1.2,1.3,.917,1.2,3.2,4.4,1.0,0.8,0.6,0.9,2.6,6.6
7,Ersan Ilyasova,30,12,6,20.8,2.3,6.7,.350,0.8,3.2,.263,1.5,3.5,.429,.413,0.8,1.1,.769,1.4,3.4,4.8,0.7,1.3,0.2,0.3,2.4,6.3
8,Malcolm Delaney,28,18,2,19.5,1.8,4.8,.379,0.7,1.9,.371,1.1,2.9,.385,.454,1.1,1.5,.704,0.3,1.6,1.9,1.9,0.8,0.1,1.2,1.3,5.4
9,Luke Babbitt,28,20,9,19.4,3.0,6.0,.492,1.8,4.0,.456,1.2,2.1,.561,.642,0.5,0.7,.692,0.2,2.3,2.5,1.0,0.3,0.2,0.7,1.7,8.2
10,Isaiah Taylor,23,16,0,16.3,2.3,5.1,.457,0.5,1.3,.400,1.8,3.8,.475,.506,1.1,1.6,.692,0.1,1.2,1.3,2.2,0.5,0.3,1.1,1.1,6.3
11,DeAndre' Bembry,23,9,0,16.2,2.2,5.7,.392,0.2,1.1,.200,2.0,4.6,.439,.412,0.8,1.3,.583,0.2,2.4,2.7,1.2,0.9,0.6,1.8,1.8,5.4
12,Miles Plumlee,29,4,2,13.5,0.8,1.8,.429,0.0,0.0,,0.8,1.8,.429,.429,0.3,0.5,.500,0.8,3.0,3.8,0.5,0.5,0.8,2.0,1.8,1.8
13,Tyler Cavanaugh,23,14,0,10.9,1.4,2.8,.487,0.6,1.9,.346,0.7,0.9,.769,.603,0.2,0.3,.750,0.6,1.6,2.1,1.1,0.1,0.1,0.2,1.4,3.6
14,Josh Magette,28,8,0,8.0,0.5,1.5,.333,0.1,0.5,.250,0.4,1.0,.375,.375,0.5,0.5,1.000,0.1,0.6,0.8,2.1,0.3,0.0,0.3,0.8,1.6
15,Tyler Dorsey,21,8,0,6.3,0.8,2.1,.353,0.5,1.5,.333,0.3,0.6,.400,.471,0.4,0.5,.750,0.1,0.9,1.0,0.4,0.0,0.0,0.5,0.1,2.4
16,Nicolas Brussino,24,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
