,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Atlanta Hawks,2017-2018,Dennis Schroder,24,22,22,32.4,8.2,17.9,.457,1.2,3.6,.329,7.0,14.3,.489,.490,3.0,3.4,.867,0.8,2.2,3.0,6.5,1.1,0.0,2.8,1.9,20.5
1,Atlanta Hawks,2017-2018,Taurean Waller-Prince,23,24,24,30.8,4.8,11.2,.431,1.7,4.0,.427,3.1,7.2,.434,.507,1.1,1.6,.711,0.8,4.3,5.1,2.3,1.2,0.5,2.2,2.1,12.5
2,Atlanta Hawks,2017-2018,Kent Bazemore,28,24,24,28.8,3.9,10.3,.382,1.3,3.6,.356,2.6,6.6,.396,.445,2.8,3.5,.807,0.5,4.0,4.5,3.4,1.8,0.5,2.4,2.1,11.9
3,Atlanta Hawks,2017-2018,Marco Belinelli,31,24,0,25.7,4.0,9.9,.403,2.0,5.1,.393,2.0,4.8,.414,.504,2.0,2.2,.942,0.2,2.2,2.4,2.5,1.1,0.0,1.0,0.8,12.0
4,Atlanta Hawks,2017-2018,Dewayne Dedmon,28,20,20,24.4,4.6,7.7,.601,0.7,1.5,.483,3.9,6.2,.629,.647,1.2,1.6,.719,2.0,5.8,7.8,1.4,0.4,0.9,1.8,3.0,11.1
5,Atlanta Hawks,2017-2018,John Collins,20,21,4,23.0,4.9,8.3,.592,0.0,0.0,.000,4.9,8.2,.595,.592,1.7,2.2,.766,3.1,4.0,7.1,0.8,0.7,0.9,1.5,3.7,11.5
6,Atlanta Hawks,2017-2018,Mike Muscala,26,9,5,22.4,2.3,5.7,.412,0.7,2.1,.316,1.7,3.6,.469,.471,1.2,1.3,.917,1.2,3.2,4.4,1.0,0.8,0.6,0.9,2.6,6.6
7,Atlanta Hawks,2017-2018,Ersan Ilyasova,30,13,7,21.3,2.5,6.9,.356,0.8,3.3,.256,1.6,3.6,.447,.417,0.8,1.0,.769,1.5,3.5,5.0,0.8,1.3,0.3,0.4,2.4,6.5
8,Atlanta Hawks,2017-2018,Malcolm Delaney,28,18,2,19.5,1.8,4.8,.379,0.7,1.9,.371,1.1,2.9,.385,.454,1.1,1.5,.704,0.3,1.6,1.9,1.9,0.8,0.1,1.2,1.3,5.4
9,Atlanta Hawks,2017-2018,Luke Babbitt,28,21,9,19.1,2.9,5.8,.492,1.8,3.8,.463,1.1,2.0,.548,.643,0.4,0.6,.692,0.2,2.3,2.5,0.9,0.3,0.1,0.7,1.7,7.9
10,Atlanta Hawks,2017-2018,DeAndre' Bembry,23,10,0,17.3,2.3,5.7,.404,0.3,1.1,.273,2.0,4.6,.435,.430,0.8,1.4,.571,0.2,2.7,2.9,1.4,1.0,0.5,2.2,1.8,5.7
11,Atlanta Hawks,2017-2018,Isaiah Taylor,23,17,0,16.2,2.3,5.0,.459,0.5,1.2,.400,1.8,3.8,.477,.506,1.1,1.6,.667,0.1,1.1,1.2,2.2,0.5,0.3,1.1,1.1,6.1
12,Atlanta Hawks,2017-2018,Miles Plumlee,29,5,3,13.4,1.4,2.6,.538,0.0,0.0,,1.4,2.6,.538,.538,0.2,0.4,.500,1.2,2.6,3.8,0.4,0.4,0.6,1.6,1.4,3.0
13,Atlanta Hawks,2017-2018,Tyler Cavanaugh,23,15,0,12.1,1.6,3.3,.490,0.7,2.0,.367,0.9,1.3,.684,.602,0.3,0.4,.667,0.7,1.7,2.4,1.1,0.2,0.1,0.3,1.3,4.2
14,Atlanta Hawks,2017-2018,Josh Magette,28,8,0,8.0,0.5,1.5,.333,0.1,0.5,.250,0.4,1.0,.375,.375,0.5,0.5,1.000,0.1,0.6,0.8,2.1,0.3,0.0,0.3,0.8,1.6
15,Atlanta Hawks,2017-2018,Tyler Dorsey,21,8,0,6.3,0.8,2.1,.353,0.5,1.5,.333,0.3,0.6,.400,.471,0.4,0.5,.750,0.1,0.9,1.0,0.4,0.0,0.0,0.5,0.1,2.4
16,Atlanta Hawks,2017-2018,Nicolas Brussino,24,4,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
