,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,DeMarre Carroll,31,19,19,29.7,4.5,10.4,.434,1.9,5.1,.385,2.6,5.4,.480,.528,3.2,4.3,.753,1.7,5.1,6.8,1.6,1.1,0.4,1.4,2.6,14.2
1,D'Angelo Russell,21,12,12,27.8,7.9,17.1,.463,1.5,5.1,.295,6.4,12.0,.535,.507,3.6,5.3,.683,0.8,3.9,4.7,5.7,1.0,0.2,4.0,2.5,20.9
2,Allen Crabbe,25,18,11,27.3,4.2,10.2,.410,2.4,6.2,.396,1.7,4.0,.431,.530,1.6,1.9,.829,0.5,3.5,4.0,1.4,0.7,0.3,1.1,1.7,12.4
3,Rondae Hollis-Jefferson,23,18,18,27.1,4.9,10.0,.494,0.2,0.7,.250,4.8,9.3,.512,.503,4.2,5.1,.826,1.3,4.2,5.4,1.8,0.9,0.7,1.5,1.9,14.3
4,Spencer Dinwiddie,24,20,10,26.0,4.1,10.3,.393,1.9,4.9,.388,2.2,5.4,.398,.485,2.4,3.2,.762,0.7,2.3,3.0,6.1,0.8,0.3,1.1,2.8,12.4
5,Caris LeVert,23,21,8,25.8,4.0,9.8,.413,1.0,3.4,.278,3.1,6.4,.485,.461,1.5,2.5,.596,0.5,3.3,3.9,3.2,1.3,0.4,2.1,2.2,10.5
6,Jeremy Lin,29,1,1,25.0,5.0,12.0,.417,1.0,2.0,.500,4.0,10.0,.400,.458,7.0,7.0,1.000,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,18.0
7,Joe Harris,26,20,3,23.2,3.7,8.1,.460,2.1,5.5,.382,1.6,2.6,.627,.590,0.7,1.0,.700,0.4,2.3,2.7,1.4,0.7,0.3,0.7,1.9,10.2
8,Trevor Booker,30,16,4,22.5,4.6,8.6,.533,0.2,0.8,.250,4.4,7.8,.560,.544,1.4,2.6,.561,2.3,4.6,6.9,1.9,0.5,0.3,1.7,2.3,10.8
9,Quincy Acy,27,16,0,18.4,1.6,4.8,.329,1.3,3.8,.333,0.3,1.0,.313,.461,1.1,1.4,.818,0.6,3.7,4.3,0.8,0.4,0.2,1.1,2.3,5.5
10,Tyler Zeller,28,13,5,17.9,3.3,5.5,.597,0.2,0.5,.429,3.1,5.0,.615,.618,1.3,2.2,.607,1.6,2.1,3.7,0.8,0.5,0.5,1.0,1.8,8.2
11,Jarrett Allen,19,13,0,15.4,1.7,3.5,.478,0.0,0.1,.000,1.7,3.5,.489,.478,0.8,1.2,.688,1.3,2.5,3.8,0.5,0.7,0.7,0.5,1.6,4.2
12,Timofey Mozgov,31,16,14,15.1,2.1,3.7,.576,0.2,0.9,.200,1.9,2.8,.705,.602,0.6,0.9,.667,1.5,2.9,4.4,0.2,0.2,0.5,1.3,1.4,5.1
13,Isaiah Whitehead,22,7,0,12.7,2.9,6.1,.465,0.3,1.1,.250,2.6,5.0,.514,.488,0.9,1.4,.600,0.1,1.4,1.6,1.9,0.7,0.3,2.3,1.9,6.9
14,Sean Kilpatrick,28,14,0,11.6,1.6,5.6,.282,0.6,2.6,.250,0.9,3.0,.310,.340,1.0,1.1,.933,0.0,2.3,2.3,1.1,0.1,0.0,1.1,0.5,4.8
15,Jacob Wiley,23,4,0,8.0,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.3,0.5,.500,0.5,2.3,2.8,0.5,0.3,0.0,0.0,1.0,1.0
