,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Kemba Walker,27,20,20,35.1,7.3,16.5,.442,2.3,6.6,.351,5.0,10.0,.503,.512,5.8,6.6,.871,0.6,3.1,3.7,6.3,0.8,0.3,2.1,1.6,22.7
1,Dwight Howard,32,22,22,29.1,5.7,10.0,.566,0.0,0.0,.000,5.7,10.0,.568,.566,3.8,7.8,.483,3.7,8.6,12.4,1.2,0.5,1.1,3.8,3.4,15.1
2,Jeremy Lamb,25,22,13,28.5,5.6,12.3,.454,1.4,3.8,.361,4.2,8.5,.495,.509,3.1,3.6,.863,0.4,4.6,5.0,3.3,0.9,0.5,1.7,2.0,15.7
3,Nicolas Batum,29,9,9,28.4,3.7,9.9,.371,0.9,4.2,.211,2.8,5.7,.490,.416,2.3,2.8,.840,0.4,3.9,4.3,4.0,0.8,0.3,2.0,1.4,10.6
4,Michael Kidd-Gilchrist,24,16,16,25.9,3.9,8.0,.492,0.0,0.1,.000,3.9,7.9,.496,.492,1.2,1.6,.731,1.0,3.4,4.4,0.7,0.7,0.8,0.4,1.9,9.1
5,Marvin Williams,31,22,22,25.6,3.1,6.6,.473,1.6,3.5,.455,1.5,3.1,.493,.592,1.1,1.3,.862,0.8,3.5,4.3,1.0,0.8,0.4,0.5,1.4,9.0
6,Frank Kaminsky,24,21,0,24.1,4.1,9.6,.426,1.2,3.5,.342,2.9,6.1,.473,.488,1.7,2.2,.766,0.6,3.5,4.1,1.5,0.3,0.2,0.9,1.3,11.1
7,Cody Zeller,25,18,0,20.2,2.4,4.9,.500,0.1,0.1,1.000,2.4,4.8,.494,.506,2.3,3.2,.724,2.3,3.1,5.4,0.8,0.5,1.1,1.2,2.8,7.3
8,Dwayne Bacon,22,21,6,18.7,1.7,4.7,.364,0.5,1.4,.345,1.2,3.3,.371,.414,0.4,0.5,.727,0.0,3.5,3.6,0.9,0.3,0.1,0.6,1.5,4.3
9,Michael Carter-Williams,26,11,2,17.9,1.3,5.0,.255,0.4,1.1,.333,0.9,3.9,.233,.291,2.4,2.9,.813,1.0,2.0,3.0,2.9,1.1,0.4,1.5,2.3,5.3
10,Malik Monk,19,19,0,17.6,2.7,7.8,.345,1.5,4.5,.329,1.2,3.3,.365,.439,0.6,0.8,.750,0.1,1.4,1.5,1.9,0.3,0.2,0.9,1.2,7.5
11,Treveon Graham,24,12,0,17.5,1.5,3.9,.383,0.4,1.5,.278,1.1,2.4,.448,.436,0.6,0.8,.700,0.8,1.5,2.3,1.4,0.7,0.0,0.4,2.2,4.0
12,Johnny O'Bryant,24,8,0,9.4,2.0,4.3,.471,0.3,0.9,.286,1.8,3.4,.519,.500,1.0,1.0,1.000,0.8,1.4,2.1,0.4,0.3,0.3,0.4,0.8,5.3
13,Julyan Stone,29,2,0,9.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,2.5,2.5,1.0,1.0,0.0,1.0,1.5,3.0
14,Marcus Paige,24,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Mangok Mathiang,25,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
