,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Charlotte Hornets,2017-2018,Kemba Walker,27,21,21,35.2,7.3,16.7,.439,2.3,6.6,.355,5.0,10.1,.493,.509,5.7,6.6,.863,0.6,3.2,3.8,6.2,0.8,0.3,2.0,1.6,22.7
1,Charlotte Hornets,2017-2018,Nicolas Batum,29,10,10,29.2,3.9,10.1,.386,1.0,4.3,.233,2.9,5.8,.500,.436,2.2,2.7,.815,0.6,3.8,4.4,4.0,0.9,0.3,2.2,1.4,11.0
2,Charlotte Hornets,2017-2018,Dwight Howard,32,23,23,29.1,5.6,10.0,.558,0.0,0.0,.000,5.6,10.0,.561,.558,3.9,7.8,.497,3.6,8.5,12.1,1.2,0.5,1.1,3.7,3.3,15.1
3,Charlotte Hornets,2017-2018,Jeremy Lamb,25,23,13,28.0,5.5,12.3,.447,1.3,3.7,.357,4.2,8.6,.485,.500,3.0,3.5,.863,0.4,4.6,5.0,3.2,0.9,0.4,1.7,2.0,15.3
4,Charlotte Hornets,2017-2018,Marvin Williams,31,23,23,25.8,3.1,6.7,.468,1.5,3.5,.438,1.6,3.2,.500,.581,1.1,1.3,.867,0.8,3.5,4.3,1.0,0.8,0.3,0.5,1.4,8.9
5,Charlotte Hornets,2017-2018,Michael Kidd-Gilchrist,24,17,17,25.8,3.9,8.2,.475,0.0,0.1,.000,3.9,8.1,.478,.475,1.1,1.5,.731,1.0,3.3,4.3,0.6,0.6,0.8,0.4,2.0,8.9
6,Charlotte Hornets,2017-2018,Frank Kaminsky,24,22,0,23.3,3.9,9.2,.424,1.1,3.3,.342,2.8,5.9,.469,.485,1.6,2.1,.766,0.5,3.4,4.0,1.4,0.3,0.2,0.9,1.3,10.6
7,Charlotte Hornets,2017-2018,Cody Zeller,25,19,0,19.9,2.5,5.0,.495,0.1,0.1,1.000,2.4,4.9,.489,.500,2.2,3.1,.724,2.4,3.1,5.5,0.8,0.5,1.1,1.1,2.7,7.2
8,Charlotte Hornets,2017-2018,Dwayne Bacon,22,22,6,18.1,1.6,4.5,.360,0.5,1.3,.345,1.2,3.2,.366,.410,0.4,0.5,.727,0.0,3.5,3.5,0.9,0.3,0.1,0.6,1.5,4.1
9,Charlotte Hornets,2017-2018,Michael Carter-Williams,26,12,2,17.8,1.3,5.3,.250,0.3,1.1,.308,1.0,4.3,.235,.281,2.2,2.7,.813,0.9,2.1,3.0,2.8,1.0,0.3,1.4,2.1,5.2
10,Charlotte Hornets,2017-2018,Treveon Graham,24,13,0,17.2,1.5,3.8,.400,0.5,1.5,.316,1.1,2.4,.452,.460,0.5,0.8,.700,0.8,1.4,2.2,1.3,0.7,0.0,0.5,2.0,4.1
11,Charlotte Hornets,2017-2018,Malik Monk,19,20,0,17.0,2.6,7.5,.342,1.4,4.3,.326,1.2,3.2,.365,.436,0.6,0.8,.750,0.1,1.4,1.5,1.8,0.3,0.2,0.9,1.2,7.1
12,Charlotte Hornets,2017-2018,Julyan Stone,29,2,0,9.0,1.0,2.0,.500,1.0,2.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,2.5,2.5,1.0,1.0,0.0,1.0,1.5,3.0
13,Charlotte Hornets,2017-2018,Johnny O'Bryant,24,9,0,8.7,1.8,4.0,.444,0.2,0.8,.286,1.6,3.2,.483,.472,0.9,0.9,1.000,0.7,1.3,2.0,0.4,0.2,0.2,0.3,0.7,4.7
14,Charlotte Hornets,2017-2018,Marcus Paige,24,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Charlotte Hornets,2017-2018,Mangok Mathiang,25,1,0,3.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
