,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Jimmy Butler,25,65,65,38.7,6.5,14.0,.462,1.1,3.0,.378,5.4,11.1,.484,.502,5.9,7.1,.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20.0
1,Pau Gasol,34,78,78,34.4,7.3,14.8,.494,0.2,0.3,.462,7.2,14.4,.495,.500,3.8,4.7,.803,2.8,9.0,11.8,2.7,0.3,1.9,2.0,1.9,18.5
2,Joakim Noah,29,67,67,30.6,2.8,6.4,.445,0.0,0.0,.000,2.8,6.3,.447,.445,1.6,2.6,.603,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3.0,7.2
3,Derrick Rose,26,51,51,30.0,6.6,16.4,.405,1.5,5.3,.280,5.1,11.1,.465,.450,3.0,3.7,.813,0.7,2.5,3.2,4.9,0.7,0.3,3.2,1.2,17.7
4,Mike Dunleavy,34,63,63,29.2,3.3,7.6,.435,1.7,4.2,.407,1.6,3.5,.468,.546,1.1,1.4,.805,0.4,3.5,3.9,1.8,0.6,0.3,1.0,2.0,9.4
5,Taj Gibson,29,62,17,27.3,4.1,8.2,.502,0.0,0.0,,4.1,8.2,.502,.502,2.1,3.0,.717,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3
6,Kirk Hinrich,34,66,22,24.4,2.2,5.8,.373,0.9,2.5,.345,1.3,3.2,.394,.449,0.5,0.8,.700,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7
7,Aaron Brooks,30,82,21,23.0,4.2,10.0,.421,1.5,3.8,.387,2.7,6.1,.442,.495,1.8,2.1,.833,0.4,1.6,2.0,3.2,0.7,0.2,1.9,2.3,11.6
8,Nikola Mirotic,23,82,3,20.2,3.1,7.6,.405,1.2,3.8,.316,1.9,3.8,.495,.485,2.8,3.5,.803,0.8,4.2,4.9,1.2,0.7,0.7,1.1,2.1,10.2
9,Tony Snell,23,72,22,19.6,2.2,5.2,.429,1.0,2.7,.371,1.2,2.4,.494,.527,0.6,0.8,.800,0.4,2.0,2.4,0.9,0.4,0.2,0.7,1.2,6.0
10,E'Twaun Moore,25,56,0,9.0,1.1,2.5,.446,0.2,0.7,.342,0.9,1.8,.485,.493,0.2,0.4,.600,0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7
11,Doug McDermott,23,36,0,8.9,1.2,3.0,.402,0.4,1.1,.317,0.8,1.8,.455,.463,0.3,0.4,.667,0.2,1.0,1.2,0.2,0.1,0.0,0.5,0.8,3.0
12,Nazr Mohammed,37,23,0,5.6,0.6,1.3,.433,0.0,0.0,,0.6,1.3,.433,.433,0.0,0.1,.333,0.5,1.2,1.7,0.1,0.2,0.2,0.3,0.7,1.2
13,Cameron Bairstow,24,18,1,3.6,0.2,0.8,.214,0.0,0.0,,0.2,0.8,.214,.214,0.2,0.3,.800,0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.6
