,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Chicago Bulls,2017-2018,Justin Holiday,28,22,22,34.4,4.9,13.3,.366,2.7,7.5,.355,2.2,5.7,.381,.467,1.9,2.5,.778,0.5,3.7,4.2,2.1,1.2,0.6,1.2,2.0,14.3
1,Chicago Bulls,2017-2018,Lauri Markkanen,20,23,23,30.6,5.0,12.8,.390,2.3,6.8,.331,2.7,6.0,.457,.478,2.0,2.5,.825,1.1,6.8,7.9,1.4,0.6,0.6,1.4,1.8,14.3
2,Chicago Bulls,2017-2018,Robin Lopez,29,23,23,29.9,5.9,11.3,.519,0.1,0.3,.286,5.8,11.0,.526,.523,1.5,1.9,.773,2.8,2.7,5.5,2.1,0.3,0.8,1.8,2.1,13.3
3,Chicago Bulls,2017-2018,Denzel Valentine,24,23,12,29.3,3.7,9.8,.382,2.3,5.5,.413,1.5,4.3,.343,.498,0.2,0.3,.714,0.8,4.6,5.4,3.1,0.8,0.1,1.0,2.0,10.0
4,Chicago Bulls,2017-2018,Kris Dunn,23,19,10,27.4,5.2,11.7,.439,1.1,2.4,.444,4.1,9.4,.438,.484,0.8,1.4,.577,0.7,4.0,4.7,4.5,1.9,0.3,3.2,3.2,12.2
5,Chicago Bulls,2017-2018,Jerian Grant,25,23,14,24.7,3.1,7.5,.413,0.8,2.6,.305,2.3,4.9,.469,.465,2.0,2.5,.776,0.6,2.2,2.8,4.9,0.8,0.1,1.5,1.8,8.9
6,Chicago Bulls,2017-2018,Bobby Portis,22,14,0,22.1,4.6,10.3,.444,1.1,3.3,.348,3.4,7.0,.490,.500,1.7,2.2,.774,1.9,5.1,7.0,1.7,0.2,0.4,1.3,1.1,12.0
7,Chicago Bulls,2017-2018,David Nwaba,25,11,3,20.8,2.6,4.8,.547,0.2,0.6,.286,2.5,4.2,.587,.566,1.5,2.4,.654,0.5,4.6,5.2,1.5,0.7,0.6,0.8,1.7,7.0
8,Chicago Bulls,2017-2018,Paul Zipser,23,20,7,16.6,1.7,5.3,.324,0.6,2.3,.267,1.1,3.0,.367,.381,0.1,0.3,.333,0.3,3.1,3.4,1.1,0.4,0.2,0.9,1.6,4.1
9,Chicago Bulls,2017-2018,Cristiano Felicio,25,20,0,15.3,1.8,2.9,.621,0.0,0.0,,1.8,2.9,.621,.621,0.5,0.9,.556,1.2,1.8,3.0,0.7,0.2,0.2,0.8,2.1,4.1
10,Chicago Bulls,2017-2018,Antonio Blakeney,21,11,0,14.8,2.5,7.0,.364,0.7,2.5,.286,1.8,4.5,.408,.416,1.3,1.7,.737,0.3,1.5,1.8,0.6,0.2,0.0,0.7,0.7,7.1
11,Chicago Bulls,2017-2018,Quincy Pondexter,29,15,1,10.5,0.9,2.8,.310,0.2,1.3,.158,0.7,1.5,.435,.345,0.9,1.1,.824,0.5,0.8,1.3,0.4,0.5,0.1,0.6,1.4,2.9
12,Chicago Bulls,2017-2018,Kay Felder,22,13,0,10.0,1.5,5.0,.308,0.3,1.4,.222,1.2,3.6,.340,.338,0.8,0.9,.917,0.1,1.0,1.1,1.5,0.2,0.1,1.2,0.8,4.2
13,Chicago Bulls,2017-2018,Ryan Arcidiacono,23,1,0,5.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
