,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,LeBron James,33,24,24,37.0,10.9,18.7,.584,2.0,4.7,.416,9.0,14.0,.640,.636,4.3,5.5,.773,1.2,6.7,7.9,8.5,1.3,1.1,4.0,1.8,28.0
1,J.R. Smith,32,24,21,30.9,3.0,7.8,.392,1.9,5.5,.338,1.2,2.2,.528,.513,0.3,0.6,.571,0.4,2.5,2.9,2.1,1.0,0.0,1.0,2.5,8.3
2,Kevin Love,29,24,24,29.3,6.1,12.9,.472,1.9,5.0,.383,4.2,7.9,.529,.547,5.1,5.7,.898,2.6,7.8,10.4,1.8,0.7,0.5,2.0,2.4,19.2
3,Derrick Rose,29,7,7,26.9,5.6,11.9,.470,0.4,1.9,.231,5.1,10.0,.514,.488,2.7,3.0,.905,1.0,1.6,2.6,1.7,0.3,0.1,2.7,1.6,14.3
4,Jae Crowder,27,24,21,25.6,2.8,7.1,.388,1.3,3.8,.333,1.5,3.3,.450,.476,1.9,2.1,.882,0.7,2.3,3.0,1.0,0.7,0.1,1.0,2.1,8.6
5,Dwyane Wade,36,23,3,23.6,4.6,10.0,.459,0.4,1.2,.357,4.2,8.8,.473,.481,2.3,3.0,.754,0.7,3.2,3.9,3.8,1.0,0.9,1.9,2.0,11.9
6,Kyle Korver,36,24,0,22.1,3.4,7.2,.471,2.5,5.8,.435,0.9,1.4,.618,.645,1.1,1.3,.867,0.1,2.0,2.1,1.0,0.5,0.5,0.7,1.8,10.3
7,Tristan Thompson,26,8,5,21.6,1.9,3.3,.577,0.0,0.0,,1.9,3.3,.577,.577,0.6,1.4,.455,2.1,4.3,6.4,0.4,0.1,0.5,0.8,2.0,4.4
8,Jeff Green,31,24,0,21.1,3.7,7.5,.494,0.5,1.8,.295,3.2,5.7,.559,.531,2.3,2.7,.831,0.8,2.5,3.4,1.6,0.8,0.3,1.0,2.0,10.2
9,Iman Shumpert,27,13,6,20.8,1.7,4.4,.386,0.5,1.9,.280,1.2,2.5,.469,.447,0.8,1.2,.733,0.5,2.5,3.1,1.3,0.7,0.4,1.3,1.5,4.8
10,Jose Calderon,36,15,9,14.3,0.9,2.0,.433,0.5,1.1,.412,0.4,0.9,.462,.550,0.3,0.4,.833,0.2,0.9,1.1,1.5,0.5,0.0,0.8,1.5,2.5
11,Channing Frye,34,22,0,12.5,1.8,3.5,.513,0.6,1.8,.350,1.1,1.6,.694,.605,0.2,0.2,1.000,0.2,2.4,2.6,0.6,0.3,0.2,0.4,1.6,4.4
12,Cedi Osman,22,16,0,5.4,0.6,1.3,.450,0.2,0.6,.333,0.4,0.7,.545,.525,0.1,0.1,1.000,0.2,1.2,1.4,0.3,0.1,0.1,0.2,0.6,1.4
13,John Holland,29,4,0,4.3,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.8
14,Ante Zizic,21,9,0,3.6,0.3,0.9,.375,0.0,0.0,,0.3,0.9,.375,.375,0.6,0.8,.714,0.4,0.7,1.1,0.0,0.0,0.3,0.2,0.4,1.2
