,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Cleveland Cavaliers,Kyrie Irving,22,75,75,36.4,7.7,16.5,.468,2.1,5.0,.415,5.6,11.4,.491,.532,4.2,4.9,.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7
1,Cleveland Cavaliers,LeBron James,30,69,69,36.1,9.0,18.5,.488,1.7,4.9,.354,7.3,13.6,.536,.535,5.4,7.7,.710,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3
2,Cleveland Cavaliers,Kevin Love,26,75,75,33.8,5.5,12.7,.434,1.9,5.2,.367,3.6,7.5,.480,.509,3.4,4.3,.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4
3,Cleveland Cavaliers,J.R. Smith,29,46,45,31.8,4.7,11.0,.425,2.8,7.3,.390,1.8,3.7,.494,.555,0.6,0.7,.818,0.6,2.9,3.5,2.5,1.4,0.4,1.1,2.6,12.7
4,Cleveland Cavaliers,Tristan Thompson,23,82,15,26.8,3.3,6.0,.547,0.0,0.0,,3.3,6.0,.547,.547,1.9,3.0,.641,3.3,4.7,8.0,0.5,0.4,0.7,1.0,2.3,8.5
5,Cleveland Cavaliers,Timofey Mozgov,28,46,45,25.0,4.3,7.3,.590,0.0,0.0,,4.3,7.3,.590,.590,2.0,2.8,.708,2.4,4.5,6.9,0.8,0.4,1.2,1.5,2.5,10.6
6,Cleveland Cavaliers,Anderson Varejao,32,26,26,24.5,4.3,7.7,.555,0.0,0.1,.000,4.3,7.6,.561,.555,1.3,1.7,.733,2.2,4.3,6.5,1.3,0.7,0.6,1.3,2.2,9.8
7,Cleveland Cavaliers,Iman Shumpert,24,38,1,24.2,2.8,6.7,.410,1.2,3.4,.338,1.6,3.3,.484,.496,0.5,0.7,.667,0.9,2.9,3.8,1.5,1.3,0.3,1.3,1.9,7.2
8,Cleveland Cavaliers,Dion Waiters,23,33,3,23.8,4.2,10.4,.404,0.7,2.6,.256,3.5,7.8,.453,.436,1.4,1.8,.783,0.4,1.4,1.7,2.2,1.3,0.3,1.5,1.8,10.5
9,Cleveland Cavaliers,Matthew Dellavedova,24,67,13,20.6,1.7,4.6,.362,1.0,2.5,.407,0.6,2.1,.307,.472,0.4,0.6,.763,0.6,1.3,1.9,3.0,0.4,0.0,0.9,2.3,4.8
10,Cleveland Cavaliers,Shawn Marion,36,57,24,19.3,2.1,4.7,.446,0.2,0.8,.261,1.9,3.9,.484,.468,0.5,0.6,.765,1.1,2.4,3.5,0.9,0.5,0.5,0.6,1.0,4.8
11,Cleveland Cavaliers,Mike Miller,34,52,15,13.5,0.7,2.2,.325,0.6,1.9,.327,0.1,0.3,.313,.465,0.1,0.1,.750,0.1,1.7,1.8,0.9,0.3,0.1,0.4,1.4,2.1
12,Cleveland Cavaliers,James Jones,34,57,2,11.7,1.3,3.5,.368,1.1,3.1,.360,0.2,0.5,.423,.525,0.7,0.8,.848,0.2,0.9,1.1,0.4,0.2,0.1,0.2,1.2,4.4
13,Cleveland Cavaliers,Kendrick Perkins,30,17,0,9.8,1.2,2.4,.488,0.0,0.0,,1.2,2.4,.488,.488,0.2,0.5,.500,0.6,1.8,2.4,0.5,0.1,0.2,1.2,1.6,2.6
14,Cleveland Cavaliers,Joe Harris,23,51,1,9.7,0.9,2.4,.400,0.6,1.6,.369,0.3,0.7,.472,.529,0.2,0.3,.600,0.1,0.7,0.8,0.5,0.1,0.0,0.5,1.2,2.7
15,Cleveland Cavaliers,Will Cherry,23,8,0,8.6,0.6,2.4,.263,0.3,1.1,.222,0.4,1.3,.300,.316,0.4,0.8,.500,0.1,0.5,0.6,1.0,0.8,0.1,0.5,1.3,1.9
16,Cleveland Cavaliers,A.J. Price,28,11,0,7.9,0.8,3.1,.265,0.0,1.0,.000,0.8,2.1,.391,.265,0.4,0.5,.667,0.4,1.0,1.4,1.2,0.3,0.0,0.3,0.1,2.0
17,Cleveland Cavaliers,Lou Amundson,32,12,0,6.6,0.3,1.0,.333,0.0,0.0,,0.3,1.0,.333,.333,0.3,0.4,.600,0.4,1.3,1.7,0.4,0.1,0.0,0.4,0.9,0.9
18,Cleveland Cavaliers,Brendan Haywood,35,22,1,5.4,0.6,1.4,.467,0.0,0.0,,0.6,1.4,.467,.467,0.3,0.6,.538,0.3,1.0,1.3,0.1,0.1,0.5,0.5,0.8,1.6
19,Cleveland Cavaliers,Alex Kirk,23,5,0,2.8,0.2,0.8,.250,0.0,0.0,,0.2,0.8,.250,.250,0.4,0.4,1.000,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.8
