,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Cleveland Cavaliers,2017-2018,LeBron James,33,25,25,37.2,11.0,18.7,.587,2.1,4.8,.430,8.9,13.8,.642,.642,4.2,5.5,.761,1.2,6.8,8.0,8.6,1.4,1.2,4.1,1.7,28.2
1,Cleveland Cavaliers,2017-2018,J.R. Smith,32,25,22,31.0,3.0,7.7,.389,1.9,5.6,.338,1.1,2.2,.519,.510,0.3,0.6,.571,0.4,2.6,3.0,2.2,1.0,0.0,1.0,2.5,8.2
2,Cleveland Cavaliers,2017-2018,Kevin Love,29,25,25,29.4,6.1,13.0,.471,1.9,5.0,.373,4.2,8.0,.533,.543,5.0,5.6,.900,2.5,8.0,10.5,1.8,0.7,0.4,2.0,2.4,19.2
3,Cleveland Cavaliers,2017-2018,Derrick Rose,29,7,7,26.9,5.6,11.9,.470,0.4,1.9,.231,5.1,10.0,.514,.488,2.7,3.0,.905,1.0,1.6,2.6,1.7,0.3,0.1,2.7,1.6,14.3
4,Cleveland Cavaliers,2017-2018,Jae Crowder,27,25,22,25.6,2.7,7.0,.386,1.2,3.7,.323,1.5,3.3,.458,.472,1.8,2.0,.882,0.7,2.3,3.0,1.0,0.7,0.1,1.0,2.1,8.4
5,Cleveland Cavaliers,2017-2018,Dwyane Wade,36,24,3,23.7,4.5,9.8,.453,0.4,1.2,.345,4.0,8.6,.469,.475,2.3,3.1,.720,0.7,3.1,3.8,3.9,1.0,0.9,2.0,1.9,11.6
6,Cleveland Cavaliers,2017-2018,Kyle Korver,36,25,0,22.3,3.4,7.2,.475,2.6,5.8,.438,0.9,1.4,.629,.652,1.1,1.3,.844,0.1,2.0,2.2,1.0,0.4,0.4,0.7,1.8,10.5
7,Cleveland Cavaliers,2017-2018,Tristan Thompson,26,8,5,21.6,1.9,3.3,.577,0.0,0.0,,1.9,3.3,.577,.577,0.6,1.4,.455,2.1,4.3,6.4,0.4,0.1,0.5,0.8,2.0,4.4
8,Cleveland Cavaliers,2017-2018,Jeff Green,31,25,0,21.2,3.8,7.5,.505,0.6,1.8,.311,3.2,5.7,.566,.543,2.3,2.8,.841,0.9,2.5,3.4,1.6,0.7,0.3,1.0,2.0,10.5
9,Cleveland Cavaliers,2017-2018,Iman Shumpert,27,13,6,20.8,1.7,4.4,.386,0.5,1.9,.280,1.2,2.5,.469,.447,0.8,1.2,.733,0.5,2.5,3.1,1.3,0.7,0.4,1.3,1.5,4.8
10,Cleveland Cavaliers,2017-2018,Jose Calderon,36,16,10,14.4,0.8,2.1,.382,0.4,1.2,.368,0.4,0.9,.400,.485,0.3,0.4,.833,0.2,0.9,1.1,1.4,0.5,0.0,0.8,1.4,2.4
11,Cleveland Cavaliers,2017-2018,Channing Frye,34,23,0,12.8,1.8,3.5,.513,0.7,1.9,.349,1.1,1.6,.703,.606,0.2,0.2,1.000,0.2,2.4,2.7,0.7,0.3,0.2,0.4,1.6,4.4
12,Cleveland Cavaliers,2017-2018,Cedi Osman,22,17,0,5.2,0.5,1.2,.429,0.2,0.6,.300,0.4,0.6,.545,.500,0.1,0.1,1.000,0.2,1.1,1.3,0.2,0.1,0.1,0.2,0.7,1.4
13,Cleveland Cavaliers,2017-2018,John Holland,29,4,0,4.3,0.3,1.0,.250,0.3,0.5,.500,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.3,0.0,0.8
14,Cleveland Cavaliers,2017-2018,Ante Zizic,21,9,0,3.6,0.3,0.9,.375,0.0,0.0,,0.3,0.9,.375,.375,0.6,0.8,.714,0.4,0.7,1.1,0.0,0.0,0.3,0.2,0.4,1.2
