,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Dallas Mavericks,Harrison Barnes,25,24,24,35.2,6.6,15.1,.435,1.2,3.6,.333,5.4,11.5,.467,.475,4.1,4.9,.838,1.2,6.5,7.6,2.0,0.7,0.1,1.9,1.6,18.5
1,Dallas Mavericks,Wesley Matthews,31,24,23,34.4,4.0,10.4,.386,2.5,6.2,.409,1.5,4.2,.350,.508,1.2,1.5,.784,0.4,2.6,3.0,2.9,1.1,0.2,1.5,2.3,11.8
2,Dallas Mavericks,Dennis Smith,20,22,22,28.3,5.8,14.5,.403,1.5,4.9,.308,4.3,9.6,.450,.454,1.4,2.1,.652,0.9,3.1,4.0,4.2,0.8,0.3,3.1,2.0,14.5
3,Dallas Mavericks,Yogi Ferrell,24,24,8,27.8,3.2,7.6,.418,1.4,3.8,.367,1.8,3.8,.467,.508,1.7,2.1,.804,0.3,2.3,2.6,1.9,0.8,0.1,1.3,2.1,9.4
4,Dallas Mavericks,Dirk Nowitzki,39,24,24,24.7,4.3,9.3,.462,1.5,3.5,.434,2.8,5.8,.479,.543,1.0,1.2,.893,0.5,5.3,5.8,1.8,0.5,0.3,0.9,1.8,11.1
5,Dallas Mavericks,J.J. Barea,33,24,1,22.1,4.5,10.4,.430,2.0,5.0,.392,2.5,5.4,.465,.524,1.3,1.7,.775,0.3,2.7,3.0,5.4,0.5,0.0,2.0,1.5,12.2
6,Dallas Mavericks,Devin Harris,34,18,1,18.7,3.0,6.9,.432,1.0,2.8,.353,2.0,4.1,.486,.504,2.3,2.9,.788,0.4,1.8,2.2,1.9,0.8,0.2,0.9,2.8,9.3
7,Dallas Mavericks,Dwight Powell,26,23,0,17.6,2.4,4.8,.505,0.3,1.6,.222,2.1,3.3,.640,.541,0.8,1.4,.594,1.4,3.5,4.9,1.0,0.8,0.5,0.7,1.7,6.0
8,Dallas Mavericks,Maxi Kleber,26,18,9,15.0,1.8,3.5,.524,0.3,1.3,.261,1.5,2.2,.675,.571,0.4,0.7,.667,1.1,2.0,3.1,0.4,0.2,0.2,0.4,1.6,4.4
9,Dallas Mavericks,Nerlens Noel,23,18,6,12.5,1.6,2.9,.528,0.0,0.0,,1.6,2.9,.528,.528,0.9,1.1,.842,1.4,2.6,4.1,0.3,0.6,0.6,0.8,1.7,4.0
10,Dallas Mavericks,Salah Mejri,31,20,1,12.2,1.4,2.0,.692,0.0,0.1,.000,1.4,1.9,.730,.692,0.6,1.2,.522,1.4,3.0,4.4,0.5,0.4,1.5,0.5,1.8,3.3
11,Dallas Mavericks,Dorian Finney-Smith,24,8,1,11.8,1.3,2.8,.455,0.6,1.8,.357,0.6,1.0,.625,.568,0.1,0.3,.500,0.6,0.6,1.3,0.6,0.0,0.1,0.9,1.6,3.3
12,Dallas Mavericks,Gian Clavell,24,7,0,9.1,0.9,2.6,.333,0.9,2.1,.400,0.0,0.4,.000,.500,0.3,0.3,1.000,0.1,0.9,1.0,0.4,0.3,0.0,0.3,1.1,2.9
13,Dallas Mavericks,Antonius Cleveland,23,6,0,4.2,0.3,0.8,.400,0.0,0.0,,0.3,0.8,.400,.400,0.3,0.7,.500,0.3,0.5,0.8,0.3,0.2,0.0,0.2,0.7,1.0
14,Dallas Mavericks,Jeff Withey,27,9,0,4.0,0.6,1.6,.357,0.2,1.0,.222,0.3,0.6,.600,.429,0.1,0.2,.500,0.1,0.9,1.0,0.0,0.0,0.3,0.2,0.3,1.4
