,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Detroit Pistons,2017-2018,Andre Drummond,24,24,24,33.5,5.8,10.4,.556,0.0,0.1,.000,5.8,10.3,.560,.556,3.1,5.0,.622,5.0,10.2,15.3,4.0,1.6,1.2,3.1,3.5,14.7
1,Detroit Pistons,2017-2018,Tobias Harris,25,24,24,33.3,7.3,15.0,.482,2.9,6.2,.463,4.4,8.8,.495,.578,1.8,2.0,.896,1.0,4.3,5.3,1.5,0.7,0.2,0.8,1.9,19.2
2,Detroit Pistons,2017-2018,Avery Bradley,27,24,24,31.8,5.9,13.7,.430,1.9,4.6,.405,4.0,9.0,.442,.498,2.1,2.6,.810,0.6,1.9,2.5,2.1,1.4,0.2,2.5,2.3,15.8
3,Detroit Pistons,2017-2018,Stanley Johnson,21,21,20,29.9,2.8,7.6,.363,1.1,3.8,.291,1.7,3.9,.432,.434,1.1,1.5,.719,0.3,3.3,3.7,1.4,1.2,0.2,1.0,2.6,7.7
4,Detroit Pistons,2017-2018,Reggie Jackson,27,24,24,28.1,6.0,12.6,.479,1.5,3.8,.380,4.6,8.8,.521,.536,2.8,3.3,.850,0.8,2.1,2.9,5.5,0.8,0.0,2.5,2.2,16.4
5,Detroit Pistons,2017-2018,Ish Smith,29,24,0,19.4,4.0,8.3,.490,0.2,0.8,.211,3.9,7.5,.520,.500,0.8,1.2,.655,0.3,1.8,2.1,3.8,0.4,0.3,1.1,1.5,9.0
6,Detroit Pistons,2017-2018,Anthony Tolliver,32,21,1,18.3,2.0,5.0,.394,1.4,4.0,.349,0.6,1.0,.571,.534,1.0,1.4,.724,0.6,2.1,2.8,1.0,0.5,0.3,0.6,1.6,6.3
7,Detroit Pistons,2017-2018,Jon Leuer,28,8,0,17.0,1.9,4.5,.417,0.0,0.4,.000,1.9,4.1,.455,.417,1.6,1.9,.867,0.9,3.1,4.0,0.6,0.1,0.4,1.0,2.0,5.4
8,Detroit Pistons,2017-2018,Luke Kennard,21,19,0,16.2,2.4,5.6,.425,1.0,2.4,.413,1.4,3.2,.433,.514,0.6,0.8,.733,0.1,1.4,1.5,1.2,0.6,0.1,1.1,0.9,6.3
9,Detroit Pistons,2017-2018,Reggie Bullock,26,11,3,15.1,0.9,2.9,.313,0.3,1.7,.158,0.6,1.2,.538,.359,0.2,0.4,.500,0.3,0.8,1.1,1.1,0.7,0.2,0.2,0.5,2.3
10,Detroit Pistons,2017-2018,Langston Galloway,26,22,0,13.6,2.1,5.1,.407,1.3,3.5,.377,0.8,1.6,.472,.535,0.5,0.5,.833,0.1,1.5,1.6,0.7,0.4,0.1,0.3,0.7,6.0
11,Detroit Pistons,2017-2018,Eric Moreland,26,21,0,10.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.2,0.4,.500,1.2,1.8,3.0,0.8,0.2,0.7,0.6,2.0,1.2
12,Detroit Pistons,2017-2018,Henry Ellenson,21,9,0,9.3,1.7,4.3,.385,0.8,2.1,.368,0.9,2.2,.400,.474,0.1,0.1,1.000,0.1,2.4,2.6,0.6,0.3,0.0,0.7,0.8,4.2
13,Detroit Pistons,2017-2018,Boban Marjanovic,29,5,0,6.0,1.8,3.0,.600,0.0,0.0,,1.8,3.0,.600,.600,1.6,2.4,.667,1.0,0.6,1.6,0.2,0.4,0.2,1.6,2.0,5.2
