,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Kevin Durant,29,20,20,34.1,9.2,17.5,.523,2.4,5.9,.402,6.8,11.7,.584,.590,4.0,4.6,.859,0.6,5.9,6.4,5.0,0.8,2.0,3.6,2.3,24.6
1,Klay Thompson,27,25,25,33.2,8.0,15.9,.505,3.4,7.3,.470,4.6,8.6,.535,.613,1.0,1.2,.862,0.5,3.8,4.2,2.5,0.7,0.7,1.4,1.8,20.5
2,Stephen Curry,29,23,23,32.6,8.3,17.7,.473,3.6,9.5,.381,4.7,8.2,.580,.575,6.0,6.5,.933,0.7,4.4,5.1,6.6,1.7,0.2,2.9,2.5,26.3
3,Draymond Green,27,24,24,32.0,3.6,7.8,.460,1.3,3.6,.349,2.3,4.2,.554,.540,2.0,2.6,.762,1.1,6.2,7.3,7.1,1.5,1.3,2.8,2.8,10.4
4,Andre Iguodala,34,21,1,26.0,2.3,4.9,.480,0.5,1.8,.289,1.8,3.0,.594,.534,1.0,1.6,.636,1.0,2.7,3.6,3.0,0.7,0.6,0.8,1.1,6.2
5,Shaun Livingston,32,22,1,15.2,2.1,4.3,.489,0.0,0.0,.000,2.1,4.2,.495,.489,0.5,0.6,.786,0.6,1.2,1.9,2.0,0.4,0.3,0.8,1.5,4.7
6,Zaza Pachulia,33,24,24,14.8,2.1,3.8,.567,0.0,0.0,,2.1,3.8,.567,.567,1.0,1.2,.793,1.1,3.8,4.9,1.6,0.8,0.3,1.3,1.8,5.2
7,Omri Casspi,29,21,4,14.5,2.3,4.0,.590,0.3,0.5,.636,2.0,3.4,.583,.633,1.1,1.4,.767,0.4,3.4,3.9,1.0,0.3,0.5,0.7,1.6,6.1
8,Patrick McCaw,22,23,1,13.2,1.5,3.0,.493,0.6,1.4,.406,0.9,1.6,.568,.587,0.3,0.4,.778,0.2,0.7,0.9,1.4,0.6,0.2,0.4,0.9,3.8
9,Nick Young,32,24,0,13.0,2.3,5.0,.455,1.5,3.8,.407,0.8,1.3,.600,.607,0.5,0.7,.706,0.2,1.1,1.3,0.5,0.5,0.1,0.6,0.9,6.6
10,David West,37,23,0,11.9,2.9,4.3,.667,0.1,0.3,.500,2.7,4.0,.677,.682,0.7,1.0,.667,0.8,2.6,3.3,1.6,0.6,1.1,1.0,1.3,6.6
11,Kevon Looney,21,18,0,10.4,1.3,2.4,.535,0.0,0.0,,1.3,2.4,.535,.535,0.4,1.0,.444,1.0,1.8,2.8,0.4,0.3,0.9,0.6,1.8,3.0
12,Jordan Bell,23,19,1,10.2,2.1,2.7,.750,0.0,0.0,,2.1,2.7,.750,.750,0.1,0.1,.500,1.1,1.8,2.9,0.9,0.6,0.9,0.7,1.5,4.2
13,JaVale McGee,30,22,1,7.8,1.5,2.6,.552,0.0,0.1,.000,1.5,2.5,.571,.552,0.6,0.8,.778,0.7,1.3,2.0,0.6,0.4,0.6,0.4,1.1,3.5
14,Quinn Cook,24,3,0,6.3,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.0,0.0,,0.0,0.7,0.7,1.7,0.0,0.0,0.3,1.0,2.0
