,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Victor Oladipo,25,23,23,33.2,8.4,17.4,.483,2.4,5.4,.440,6.0,12.0,.502,.551,3.9,5.0,.789,0.6,4.4,5.0,4.0,1.8,1.2,3.3,2.5,23.1
1,Thaddeus Young,29,24,24,32.9,6.0,12.0,.497,1.1,3.1,.351,4.9,8.9,.547,.542,0.4,0.8,.556,1.8,4.1,6.0,2.0,1.7,0.4,1.4,2.2,13.4
2,Darren Collison,30,24,24,31.7,4.4,9.6,.455,1.1,3.1,.365,3.3,6.5,.497,.513,2.3,2.6,.873,0.7,2.5,3.2,6.6,1.3,0.2,1.5,2.0,12.2
3,Bojan Bogdanovic,28,24,24,31.0,5.5,10.9,.508,2.2,5.0,.445,3.3,6.0,.559,.609,1.7,2.0,.837,0.3,2.9,3.2,1.2,0.6,0.0,1.1,1.6,15.0
4,Myles Turner,21,17,16,28.9,5.5,11.2,.495,0.9,2.5,.357,4.6,8.7,.534,.534,2.1,2.6,.795,0.9,6.4,7.4,1.2,0.3,2.4,1.5,3.0,14.0
5,Domantas Sabonis,21,22,8,25.1,4.6,8.6,.532,0.2,0.5,.455,4.4,8.1,.536,.545,3.0,4.0,.761,2.8,6.0,8.9,2.2,0.3,0.3,2.2,3.1,12.5
6,Cory Joseph,26,24,0,24.3,2.8,6.8,.409,1.2,2.5,.459,1.6,4.3,.379,.494,1.1,1.2,.897,0.2,2.3,2.5,3.0,1.0,0.3,1.1,1.4,7.8
7,Lance Stephenson,27,24,1,21.7,3.1,7.1,.439,0.7,2.2,.327,2.4,5.0,.487,.488,1.1,1.9,.600,0.9,4.0,4.9,2.6,0.6,0.2,1.5,1.9,8.1
8,Al Jefferson,33,10,0,13.9,3.1,5.7,.544,0.0,0.1,.000,3.1,5.6,.554,.544,1.0,1.2,.833,1.1,3.6,4.7,1.1,0.5,0.7,0.8,1.8,7.2
9,T.J. Leaf,20,20,0,11.1,1.6,3.5,.464,0.5,1.1,.455,1.1,2.4,.468,.536,0.2,0.4,.429,0.7,1.3,2.0,0.3,0.2,0.1,0.3,1.2,3.9
10,Damien Wilkins,38,13,0,6.2,0.6,1.3,.471,0.0,0.5,.000,0.6,0.8,.800,.471,0.0,0.0,,0.3,0.5,0.8,0.5,0.2,0.0,0.3,0.3,1.2
11,Joe Young,25,13,0,5.8,1.2,2.8,.444,0.1,0.8,.091,1.2,1.9,.600,.458,0.5,0.8,.600,0.2,0.5,0.7,0.6,0.1,0.0,0.3,0.5,3.0
12,Alex Poythress,24,7,0,2.9,0.3,0.4,.667,0.3,0.3,1.000,0.0,0.1,.000,1.000,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.1,0.1,0.9
13,Ike Anigbogu,19,6,0,2.8,0.2,0.8,.200,0.0,0.0,,0.2,0.8,.200,.200,0.3,0.3,1.000,0.3,0.3,0.7,0.0,0.2,0.2,0.3,0.2,0.7
