,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Blake Griffin,28,19,19,35.8,7.9,18.6,.425,2.2,6.1,.353,5.7,12.5,.460,.483,5.6,7.2,.781,1.3,6.6,7.9,5.1,0.9,0.3,3.0,2.5,23.6
1,Austin Rivers,25,22,20,33.5,5.1,12.9,.398,2.3,5.6,.407,2.9,7.3,.391,.486,1.8,2.6,.672,0.6,1.6,2.2,3.4,1.5,0.2,1.9,2.7,14.3
2,DeAndre Jordan,29,22,22,32.4,4.4,6.4,.688,0.0,0.0,,4.4,6.4,.688,.688,1.6,2.7,.583,4.6,9.3,13.9,0.9,0.5,1.1,1.9,2.9,10.4
3,Danilo Gallinari,29,9,9,31.9,4.2,11.9,.355,1.4,5.6,.260,2.8,6.3,.439,.416,2.9,3.0,.963,0.2,4.3,4.6,3.0,0.7,0.2,1.3,1.7,12.8
4,Patrick Beverley,29,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,.504,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
5,Lou Williams,31,22,5,29.7,6.2,13.9,.449,2.3,5.9,.388,4.0,8.0,.494,.531,4.1,4.6,.901,0.5,2.1,2.6,4.4,1.0,0.2,2.8,1.2,18.9
6,Wesley Johnson,30,22,13,25.6,2.8,6.4,.440,1.0,3.0,.343,1.8,3.4,.527,.521,0.8,1.0,.739,0.5,3.1,3.5,1.1,1.1,1.0,1.1,2.6,7.5
7,Sindarius Thornwell,23,22,6,16.0,1.6,3.6,.443,0.5,1.2,.423,1.1,2.4,.453,.513,0.7,1.1,.667,0.4,0.6,1.0,0.6,0.6,0.3,0.7,2.3,4.4
8,Milos Teodosic,30,2,2,16.0,2.0,6.0,.333,1.5,3.5,.429,0.5,2.5,.200,.458,0.0,0.0,,0.0,0.5,0.5,4.0,0.0,0.5,1.5,1.5,5.5
9,Jawun Evans,21,15,0,12.6,1.5,4.4,.348,0.1,0.9,.143,1.4,3.5,.404,.364,1.2,1.5,.783,0.1,1.3,1.3,1.3,0.5,0.1,0.8,1.7,4.4
10,Jamil Wilson,27,4,1,12.5,2.0,4.0,.500,1.8,3.8,.467,0.3,0.3,1.000,.719,0.0,0.0,,0.5,0.8,1.3,0.5,0.0,0.0,0.5,1.3,5.8
11,Sam Dekker,23,19,0,10.6,1.3,3.6,.362,0.3,1.7,.152,1.1,1.9,.556,.399,0.3,0.5,.600,0.6,1.4,2.0,0.4,0.4,0.3,0.6,0.9,3.2
12,Montrezl Harrell,24,16,2,10.6,2.1,3.3,.623,0.0,0.0,,2.1,3.3,.623,.623,0.8,1.3,.650,1.2,2.0,3.2,0.7,0.3,0.4,0.4,1.1,4.9
13,Willie Reed,27,21,0,10.5,2.1,3.0,.688,0.0,0.0,1.000,2.0,3.0,.683,.695,1.0,1.7,.629,0.9,2.1,3.0,0.2,0.2,0.4,0.4,1.7,5.3
14,C.J. Williams,27,10,0,9.6,1.2,2.5,.480,0.2,0.7,.286,1.0,1.8,.556,.520,0.1,0.2,.500,0.1,0.9,1.0,0.9,0.2,0.0,0.4,0.5,2.7
15,Brice Johnson,23,7,0,4.0,0.7,1.1,.625,0.0,0.1,.000,0.7,1.0,.714,.625,0.3,0.3,1.000,0.1,1.1,1.3,0.1,0.6,0.1,0.4,1.0,1.7
