,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Blake Griffin,28,19,19,35.8,7.9,18.6,.425,2.2,6.1,.353,5.7,12.5,.460,.483,5.6,7.2,.781,1.3,6.6,7.9,5.1,0.9,0.3,3.0,2.5,23.6
1,Austin Rivers,25,19,17,33.5,4.8,12.6,.381,2.1,5.4,.379,2.7,7.2,.382,.462,1.6,2.5,.638,0.6,1.5,2.1,3.3,1.6,0.1,1.8,2.7,13.2
2,DeAndre Jordan,29,19,19,32.4,4.2,6.4,.661,0.0,0.0,,4.2,6.4,.661,.661,1.6,2.5,.625,4.6,9.1,13.7,0.8,0.6,1.1,1.8,2.8,10.0
3,Danilo Gallinari,29,9,9,31.9,4.2,11.9,.355,1.4,5.6,.260,2.8,6.3,.439,.416,2.9,3.0,.963,0.2,4.3,4.6,3.0,0.7,0.2,1.3,1.7,12.8
4,Patrick Beverley,29,11,11,30.4,4.4,10.8,.403,2.2,5.5,.400,2.2,5.4,.407,.504,1.3,1.5,.824,1.5,2.6,4.1,2.9,1.7,0.5,2.3,3.1,12.2
5,Lou Williams,31,19,2,28.8,6.3,13.7,.456,2.3,5.8,.387,4.0,7.9,.507,.538,3.8,4.3,.901,0.5,2.2,2.7,4.0,1.1,0.2,2.9,1.3,18.6
6,Wesley Johnson,30,19,10,24.7,2.8,5.9,.478,1.2,2.9,.393,1.7,3.0,.561,.575,0.7,1.1,.700,0.5,3.2,3.7,1.1,1.0,0.9,0.8,2.4,7.6
7,Sindarius Thornwell,23,19,6,16.4,1.6,3.6,.449,0.5,1.1,.450,1.2,2.6,.449,.514,0.7,1.1,.667,0.4,0.6,1.0,0.7,0.6,0.4,0.8,2.3,4.5
8,Milos Teodosic,30,2,2,16.0,2.0,6.0,.333,1.5,3.5,.429,0.5,2.5,.200,.458,0.0,0.0,,0.0,0.5,0.5,4.0,0.0,0.5,1.5,1.5,5.5
9,Jawun Evans,21,12,0,12.3,1.5,4.3,.353,0.2,1.0,.167,1.3,3.3,.410,.373,1.3,1.6,.789,0.1,0.9,1.0,1.2,0.5,0.0,0.8,1.7,4.4
10,Willie Reed,27,18,0,10.9,2.4,3.4,.705,0.1,0.1,1.000,2.3,3.3,.700,.713,1.1,1.7,.613,0.9,2.3,3.2,0.2,0.2,0.4,0.5,1.8,5.9
11,Sam Dekker,23,16,0,9.5,1.3,3.1,.420,0.2,1.4,.130,1.1,1.7,.667,.450,0.2,0.3,.750,0.6,1.5,2.1,0.4,0.4,0.2,0.4,0.8,3.0
12,Montrezl Harrell,24,13,0,8.5,1.7,2.9,.579,0.0,0.0,,1.7,2.9,.579,.579,0.5,0.8,.600,1.1,1.8,2.9,0.5,0.2,0.5,0.3,1.0,3.8
13,C.J. Williams,27,7,0,6.0,0.7,1.7,.417,0.1,0.7,.200,0.6,1.0,.571,.458,0.0,0.0,,0.0,0.9,0.9,0.6,0.1,0.0,0.1,0.4,1.6
14,Brice Johnson,23,5,0,4.0,1.0,1.4,.714,0.0,0.0,,1.0,1.4,.714,.714,0.4,0.4,1.000,0.2,1.4,1.6,0.2,0.2,0.0,0.4,1.4,2.4
15,Jamil Wilson,27,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
