,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Kentavious Caldwell-Pope,24,21,21,34.3,4.8,11.6,.414,2.1,5.9,.355,2.7,5.7,.475,.504,2.0,2.7,.750,0.9,4.3,5.2,2.4,1.6,0.3,1.8,2.1,13.7
1,Brandon Ingram,20,23,23,33.7,6.0,12.9,.463,0.5,1.6,.306,5.5,11.3,.485,.481,3.6,5.2,.683,0.9,4.6,5.4,2.9,0.9,0.8,2.5,3.2,16.0
2,Lonzo Ball,20,23,23,32.9,3.4,10.8,.313,1.2,4.9,.250,2.2,6.0,.365,.369,0.7,1.4,.500,1.4,5.4,6.9,7.0,1.3,0.8,2.7,2.1,8.7
3,Kyle Kuzma,22,22,11,30.9,6.5,13.0,.498,1.7,4.5,.378,4.8,8.5,.561,.563,2.2,2.9,.762,1.5,5.0,6.5,1.5,0.4,0.1,2.0,2.0,16.8
4,Larry Nance,25,12,12,24.3,4.0,6.8,.585,0.0,0.2,.000,4.0,6.7,.600,.585,1.4,1.9,.739,2.5,4.7,7.2,1.1,1.8,0.7,1.4,3.3,9.4
5,Brook Lopez,29,23,23,23.1,5.0,11.1,.445,1.2,3.9,.300,3.8,7.2,.524,.498,2.2,2.8,.785,1.3,3.3,4.5,1.8,0.4,1.7,1.6,2.9,13.3
6,Jordan Clarkson,25,23,0,22.8,5.8,12.2,.479,1.2,3.4,.359,4.6,8.8,.525,.529,2.0,2.6,.763,0.8,2.0,2.8,3.0,0.7,0.0,1.9,1.6,14.8
7,Julius Randle,23,23,0,21.9,4.7,8.3,.557,0.2,0.9,.250,4.4,7.5,.593,.570,2.7,4.2,.656,1.2,5.3,6.5,1.7,0.4,0.8,2.2,3.5,12.3
8,Josh Hart,22,18,0,14.4,1.2,2.8,.412,0.4,1.3,.304,0.8,1.6,.500,.480,0.5,0.7,.750,0.4,1.7,2.1,0.5,0.7,0.2,0.4,1.0,3.2
9,Luol Deng,32,1,1,13.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
10,Corey Brewer,31,23,1,12.3,1.0,2.4,.429,0.1,0.7,.188,0.9,1.7,.525,.455,0.5,0.8,.667,0.2,1.1,1.3,0.8,0.9,0.2,0.6,1.4,2.7
11,Alex Caruso,23,2,0,9.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
12,Andrew Bogut,33,14,0,8.0,0.6,0.9,.615,0.0,0.0,,0.6,0.9,.615,.615,0.0,0.0,,0.7,2.4,3.1,0.6,0.1,0.7,0.7,1.1,1.1
13,Vander Blue,25,4,0,7.0,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.5
14,Tyler Ennis,23,11,0,5.4,0.7,1.9,.381,0.0,0.4,.000,0.7,1.5,.471,.381,0.4,0.4,1.000,0.1,0.6,0.7,0.8,0.4,0.1,0.4,0.5,1.8
15,Ivica Zubac,20,6,0,2.3,0.3,0.8,.400,0.0,0.0,,0.3,0.8,.400,.400,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.3,0.3,0.7
