,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Kentavious Caldwell-Pope,24,19,19,34.9,5.0,11.8,.422,2.1,5.9,.354,2.9,5.9,.491,.511,2.1,2.7,.750,0.9,4.4,5.3,2.5,1.7,0.4,1.8,2.2,14.2
1,Brandon Ingram,20,21,21,33.8,5.9,12.7,.466,0.5,1.6,.333,5.4,11.1,.485,.487,3.3,5.0,.660,0.9,4.5,5.3,2.9,0.9,0.9,2.4,3.2,15.7
2,Lonzo Ball,20,21,21,33.4,3.5,11.2,.315,1.3,5.0,.257,2.2,6.2,.362,.372,0.7,1.4,.467,1.4,5.7,7.0,7.2,1.4,0.8,2.6,2.1,9.0
3,Kyle Kuzma,22,20,11,31.3,6.5,12.8,.504,1.7,4.4,.379,4.8,8.5,.568,.568,2.2,2.8,.768,1.5,4.7,6.1,1.6,0.4,0.1,2.0,2.1,16.7
4,Larry Nance,25,10,10,23.7,3.9,6.6,.591,0.0,0.2,.000,3.9,6.4,.609,.591,1.6,2.2,.727,2.1,5.1,7.2,1.2,1.9,0.7,1.4,3.1,9.4
5,Brook Lopez,29,21,21,23.2,5.0,11.3,.443,1.2,4.0,.301,3.8,7.3,.519,.496,2.2,2.7,.807,1.2,3.3,4.5,1.7,0.4,1.7,1.6,3.0,13.4
6,Jordan Clarkson,25,21,0,22.6,6.1,12.3,.494,1.2,3.2,.373,4.9,9.1,.536,.542,2.0,2.7,.754,0.8,2.1,2.9,3.0,0.7,0.0,1.8,1.6,15.4
7,Julius Randle,23,21,0,22.2,4.8,8.7,.555,0.2,0.9,.222,4.6,7.8,.591,.566,2.7,4.0,.675,1.3,5.2,6.6,1.7,0.4,0.9,2.3,3.4,12.5
8,Josh Hart,22,16,0,13.8,1.1,2.8,.409,0.3,1.1,.235,0.9,1.7,.519,.455,0.6,0.8,.750,0.4,1.8,2.2,0.4,0.6,0.2,0.4,1.1,3.1
9,Luol Deng,32,1,1,13.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
10,Corey Brewer,31,21,1,12.5,1.1,2.5,.453,0.1,0.8,.188,1.0,1.8,.568,.481,0.6,0.9,.667,0.2,1.2,1.4,0.8,0.9,0.2,0.6,1.4,3.0
11,Alex Caruso,23,2,0,9.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0
12,Andrew Bogut,33,14,0,8.0,0.6,0.9,.615,0.0,0.0,,0.6,0.9,.615,.615,0.0,0.0,,0.7,2.4,3.1,0.6,0.1,0.7,0.7,1.1,1.1
13,Vander Blue,25,4,0,7.0,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.5
14,Tyler Ennis,23,10,0,5.6,0.7,1.9,.368,0.0,0.4,.000,0.7,1.5,.467,.368,0.4,0.4,1.000,0.1,0.6,0.7,0.8,0.4,0.1,0.3,0.5,1.8
15,Ivica Zubac,20,5,0,2.4,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,.400,0.0,0.0,,0.4,0.4,0.8,0.0,0.0,0.0,0.4,0.4,0.8
