,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Memphis Grizzlies,2017-2018,Marc Gasol,33,24,24,34.7,6.6,15.6,.421,1.4,4.2,.327,5.2,11.4,.456,.465,4.3,5.2,.839,1.1,7.7,8.8,4.2,0.6,1.6,3.0,2.3,18.9
1,Memphis Grizzlies,2017-2018,Mike Conley,30,12,12,31.1,5.3,14.0,.381,2.0,6.4,.312,3.3,7.6,.440,.452,4.4,5.5,.803,0.0,2.3,2.3,4.1,1.0,0.3,1.5,2.0,17.1
2,Memphis Grizzlies,2017-2018,Tyreke Evans,28,24,5,29.3,6.5,13.6,.475,1.9,4.5,.430,4.5,9.1,.498,.546,2.8,3.7,.773,0.9,3.9,4.8,4.0,1.0,0.5,2.0,1.7,17.7
3,Memphis Grizzlies,2017-2018,Dillon Brooks,22,24,16,28.8,3.1,6.8,.460,0.8,2.3,.327,2.4,4.5,.528,.515,1.0,1.3,.742,0.7,2.9,3.6,1.3,1.0,0.5,1.6,3.3,8.0
4,Memphis Grizzlies,2017-2018,JaMychal Green,27,12,12,26.3,4.2,8.0,.521,0.9,2.3,.407,3.3,5.8,.565,.578,1.4,1.8,.773,1.6,3.9,5.5,1.1,0.4,0.1,1.2,2.7,10.7
5,Memphis Grizzlies,2017-2018,James Ennis,27,23,14,25.4,2.5,5.0,.509,0.6,1.9,.326,1.9,3.1,.620,.570,1.4,1.5,.914,1.1,2.5,3.7,1.1,0.7,0.2,0.8,1.9,7.0
6,Memphis Grizzlies,2017-2018,Mario Chalmers,31,23,7,23.8,2.7,7.5,.360,0.7,2.9,.224,2.0,4.6,.448,.404,2.0,2.5,.789,0.1,2.7,2.9,3.7,1.3,0.2,1.7,3.0,8.0
7,Memphis Grizzlies,2017-2018,Chandler Parsons,29,19,5,20.2,3.4,6.6,.520,1.7,3.5,.478,1.7,3.1,.569,.648,0.5,0.8,.600,0.4,2.3,2.7,1.8,0.5,0.2,0.9,1.7,9.0
8,Memphis Grizzlies,2017-2018,Ben McLemore,24,13,5,18.8,2.5,6.2,.413,0.6,2.5,.250,1.9,3.7,.521,.463,0.7,0.7,1.000,0.5,1.8,2.2,1.0,0.5,0.3,1.2,2.7,6.4
9,Memphis Grizzlies,2017-2018,Jarell Martin,23,23,12,17.6,1.8,4.6,.400,0.3,1.3,.258,1.5,3.2,.459,.438,0.6,0.8,.778,1.0,2.3,3.2,0.4,0.6,0.8,0.9,2.8,4.6
10,Memphis Grizzlies,2017-2018,Andrew Harrison,23,18,8,16.4,1.8,4.8,.379,0.6,2.1,.289,1.2,2.7,.449,.443,1.3,1.6,.857,0.3,1.4,1.7,1.6,0.6,0.3,1.0,1.5,5.6
11,Memphis Grizzlies,2017-2018,Brandan Wright,30,16,0,14.3,2.2,3.9,.556,0.0,0.0,,2.2,3.9,.556,.556,0.9,1.4,.652,1.3,2.2,3.4,0.3,0.5,1.1,0.2,1.0,5.3
12,Memphis Grizzlies,2017-2018,Deyonta Davis,21,11,0,11.7,1.6,2.7,.600,0.0,0.0,,1.6,2.7,.600,.600,0.5,0.6,.714,0.5,2.3,2.8,0.4,0.4,0.8,0.3,1.7,3.7
13,Memphis Grizzlies,2017-2018,Wayne Selden,23,2,0,9.5,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,1.0,1.0,1.000,0.0,1.0,1.0,2.0,0.5,0.0,1.5,0.0,3.5
14,Memphis Grizzlies,2017-2018,Kobi Simmons,20,1,0,5.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
15,Memphis Grizzlies,2017-2018,Vince Hunter,23,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0
16,Memphis Grizzlies,2017-2018,Ivan Rabb,20,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
