,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Miami Heat,2017-2018,Josh Richardson,24,24,24,32.4,3.9,9.4,.413,1.5,4.9,.305,2.4,4.5,.533,.493,0.8,1.1,.769,0.6,2.3,2.8,2.0,1.2,0.7,2.2,3.0,10.1
1,Miami Heat,2017-2018,Goran Dragic,31,24,24,32.0,6.3,13.8,.452,1.8,4.4,.400,4.5,9.5,.476,.515,2.9,3.7,.795,0.7,3.3,3.9,4.5,0.9,0.1,2.4,2.2,17.2
2,Miami Heat,2017-2018,Dion Waiters,26,22,22,31.1,5.9,14.6,.401,2.1,6.4,.326,3.8,8.2,.459,.472,1.5,2.0,.756,0.4,2.1,2.5,3.8,0.8,0.3,2.6,2.1,15.4
3,Miami Heat,2017-2018,James Johnson,30,23,6,27.4,4.1,8.3,.492,1.0,2.7,.365,3.1,5.6,.555,.552,1.8,2.7,.689,0.9,4.2,5.1,4.2,1.0,0.7,2.7,2.9,11.0
4,Miami Heat,2017-2018,Tyler Johnson,25,23,0,27.2,3.5,9.0,.385,1.6,4.5,.346,1.9,4.5,.423,.471,1.8,2.0,.911,0.4,2.7,3.1,2.0,0.7,0.7,1.2,2.1,10.3
5,Miami Heat,2017-2018,Hassan Whiteside,28,15,15,26.8,6.2,10.7,.581,0.1,0.1,1.000,6.1,10.5,.576,.588,2.4,3.5,.692,2.8,9.9,12.7,0.4,0.9,1.6,1.5,2.1,14.9
6,Miami Heat,2017-2018,Justise Winslow,21,24,15,23.1,2.7,6.5,.414,0.5,1.5,.314,2.3,5.1,.443,.449,0.7,1.0,.667,1.0,4.5,5.6,1.9,0.7,0.3,1.1,1.9,6.5
7,Miami Heat,2017-2018,Kelly Olynyk,26,24,2,20.5,3.3,6.2,.523,1.2,2.5,.483,2.0,3.7,.551,.621,1.5,1.9,.804,0.9,4.5,5.4,2.0,0.6,0.5,2.0,3.1,9.3
8,Miami Heat,2017-2018,Wayne Ellington,30,24,0,19.8,2.7,6.5,.410,2.4,5.9,.411,0.3,0.6,.400,.596,0.6,0.7,.938,0.2,1.7,1.9,1.0,0.6,0.0,0.4,0.9,8.4
9,Miami Heat,2017-2018,Bam Adebayo,20,15,6,15.2,2.0,3.3,.600,0.0,0.0,,2.0,3.3,.600,.600,1.3,1.7,.731,1.5,2.3,3.8,0.1,0.8,0.6,0.7,1.5,5.3
10,Miami Heat,2017-2018,Okaro White,25,6,4,13.3,1.2,2.7,.438,0.7,1.8,.364,0.5,0.8,.600,.563,0.3,0.5,.667,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1.0,3.3
11,Miami Heat,2017-2018,Jordan Mickey,23,5,2,8.6,1.2,2.4,.500,0.0,0.4,.000,1.2,2.0,.600,.500,0.8,1.0,.800,0.8,2.8,3.6,0.0,0.0,0.6,0.6,1.0,3.2
12,Miami Heat,2017-2018,Udonis Haslem,37,2,0,4.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
13,Miami Heat,2017-2018,Derrick Walton,22,4,0,3.0,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.5,0.5,1.000,0.0,0.5,0.5,0.0,0.3,0.3,0.0,0.0,0.5
