,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Milwaukee Bucks,Brandon Knight,23,52,52,32.5,6.2,14.3,.435,2.0,4.9,.409,4.2,9.4,.448,.505,3.3,3.7,.881,0.5,3.8,4.3,5.4,1.6,0.2,3.2,1.8,17.8
1,Milwaukee Bucks,Giannis Antetokounmpo,20,81,71,31.4,4.7,9.6,.491,0.1,0.5,.159,4.6,9.1,.511,.496,3.2,4.3,.741,1.2,5.5,6.7,2.6,0.9,1.0,2.1,3.1,12.7
2,Milwaukee Bucks,Michael Carter-Williams,23,25,25,30.3,5.3,12.3,.429,0.2,1.1,.143,5.1,11.2,.457,.435,3.4,4.4,.780,0.8,3.1,4.0,5.6,2.0,0.5,3.2,2.6,14.1
3,Milwaukee Bucks,Khris Middleton,23,79,58,30.1,5.1,11.0,.467,1.4,3.4,.407,3.8,7.6,.494,.530,1.7,2.0,.859,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4
4,Milwaukee Bucks,Jabari Parker,19,25,25,29.5,5.2,10.5,.490,0.2,0.6,.250,5.0,9.9,.506,.498,1.8,2.6,.697,2.0,3.5,5.5,1.7,1.2,0.2,1.9,1.7,12.3
5,Milwaukee Bucks,O.J. Mayo,27,71,15,23.9,4.2,9.9,.422,1.4,3.9,.357,2.8,6.0,.465,.493,1.6,2.0,.827,0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4
6,Milwaukee Bucks,Jared Dudley,29,72,22,23.8,2.8,5.9,.468,1.0,2.7,.385,1.7,3.2,.537,.556,0.7,0.9,.716,0.6,2.4,3.1,1.8,1.0,0.2,0.9,1.6,7.2
7,Milwaukee Bucks,Zaza Pachulia,30,73,45,23.7,3.3,7.2,.454,0.0,0.0,.000,3.3,7.2,.456,.454,1.7,2.2,.788,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3
8,Milwaukee Bucks,Ersan Ilyasova,27,58,36,22.7,4.5,9.6,.472,1.3,3.3,.389,3.3,6.3,.515,.539,1.2,1.8,.645,1.4,3.4,4.8,1.0,0.6,0.3,0.8,2.6,11.5
9,Milwaukee Bucks,Jerryd Bayless,26,77,4,22.3,2.9,6.7,.426,0.5,1.6,.308,2.4,5.1,.462,.462,1.6,1.8,.883,0.3,2.5,2.7,3.0,0.8,0.2,1.7,2.1,7.8
10,Milwaukee Bucks,Larry Sanders,26,27,26,21.7,3.2,6.4,.500,0.0,0.0,,3.2,6.4,.500,.500,0.9,1.8,.500,2.5,3.7,6.1,0.9,1.0,1.4,1.0,3.9,7.3
11,Milwaukee Bucks,John Henson,24,67,11,18.3,2.9,5.2,.566,0.0,0.0,,2.9,5.2,.566,.566,1.2,2.0,.569,1.9,2.8,4.7,0.9,0.4,2.0,1.3,2.3,7.0
12,Milwaukee Bucks,Chris Johnson,24,8,0,16.0,1.5,3.8,.400,0.6,2.3,.278,0.9,1.5,.583,.483,0.3,0.3,1.000,0.3,1.1,1.4,0.6,0.6,0.3,0.0,0.9,3.9
13,Milwaukee Bucks,Kendall Marshall,23,28,3,14.9,1.6,3.6,.455,0.6,1.6,.391,1.0,2.0,.509,.545,0.3,0.3,.889,0.1,0.9,1.0,3.1,0.8,0.0,1.3,0.9,4.2
14,Milwaukee Bucks,Tyler Ennis,20,25,1,14.1,1.7,4.9,.350,0.4,1.5,.270,1.3,3.4,.384,.390,0.1,0.2,.600,0.2,0.9,1.1,2.4,0.7,0.1,1.4,1.3,4.0
15,Milwaukee Bucks,Jorge Gutierrez,26,10,1,13.1,1.5,2.7,.556,0.0,0.2,.000,1.5,2.5,.600,.556,0.7,1.0,.700,0.5,1.3,1.8,1.5,0.5,0.0,0.9,1.6,3.7
16,Milwaukee Bucks,Nate Wolters,23,11,0,12.9,1.1,2.8,.387,0.0,0.5,.000,1.1,2.4,.462,.387,0.1,0.4,.250,0.2,1.3,1.5,0.9,0.5,0.0,0.3,1.0,2.3
17,Milwaukee Bucks,Johnny O'Bryant,21,34,15,10.8,1.3,3.5,.367,0.0,0.0,,1.3,3.5,.367,.367,0.4,0.8,.444,0.8,1.1,1.9,0.5,0.1,0.1,0.7,1.3,2.9
18,Milwaukee Bucks,Miles Plumlee,26,19,0,9.9,1.5,3.1,.492,0.0,0.0,,1.5,3.1,.492,.492,0.2,0.4,.375,0.9,1.5,2.4,0.4,0.3,0.6,0.3,0.6,3.2
19,Milwaukee Bucks,Kenyon Martin,37,11,0,9.5,0.8,2.0,.409,0.0,0.0,,0.8,2.0,.409,.409,0.2,0.2,1.000,0.5,1.2,1.7,0.5,0.5,0.5,0.3,1.2,1.8
