,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Giannis Antetokounmpo,23,18,18,37.3,11.3,20.2,.558,0.5,1.8,.281,10.8,18.4,.584,.570,6.6,8.7,.758,1.9,8.2,10.2,4.4,1.7,1.7,2.9,3.6,29.7
1,Khris Middleton,26,19,19,36.8,7.1,16.0,.444,1.6,5.2,.316,5.5,10.8,.505,.495,3.1,3.6,.855,0.6,4.9,5.5,4.4,1.4,0.1,2.5,3.7,18.9
2,Tony Snell,26,19,17,32.1,3.4,6.2,.556,1.8,3.6,.493,1.6,2.5,.646,.701,0.6,0.8,.750,0.2,2.0,2.2,1.8,0.7,0.4,0.6,1.8,9.3
3,Malcolm Brogdon,25,18,10,30.7,5.1,10.6,.476,1.8,3.9,.457,3.3,6.7,.488,.560,1.4,1.7,.833,0.1,2.8,2.9,3.6,1.1,0.2,1.7,2.3,13.3
4,Eric Bledsoe,28,9,9,30.4,5.7,13.4,.421,1.1,4.2,.263,4.6,9.2,.494,.463,3.3,4.9,.682,0.9,3.4,4.3,5.1,2.1,0.8,2.9,2.2,15.8
5,John Henson,27,18,11,22.7,3.1,5.3,.573,0.0,0.1,.000,3.1,5.2,.585,.573,0.9,2.2,.436,1.8,4.8,6.6,1.6,0.3,1.6,1.2,2.9,7.1
6,Matthew Dellavedova,27,13,1,20.0,1.9,5.1,.379,0.8,2.2,.379,1.1,2.8,.378,.462,0.8,0.8,.909,0.5,1.6,2.2,3.2,0.2,0.0,1.6,1.8,5.5
7,Thon Maker,20,19,8,19.1,1.8,4.5,.407,0.5,1.8,.286,1.3,2.7,.490,.465,0.8,1.2,.652,1.1,2.5,3.6,0.7,0.7,0.7,0.7,2.6,5.0
8,Mirza Teletovic,32,10,0,15.9,2.5,5.7,.439,2.1,4.5,.467,0.4,1.2,.333,.623,0.0,0.0,,0.3,2.0,2.3,1.0,0.4,0.1,0.7,1.4,7.1
9,Greg Monroe,27,5,0,15.8,3.2,6.6,.485,0.0,0.0,,3.2,6.6,.485,.485,0.4,0.8,.500,1.2,3.8,5.0,1.0,0.0,0.0,1.2,1.4,6.8
10,DeAndre Liggins,29,16,0,15.7,0.9,2.5,.375,0.6,1.5,.375,0.4,1.0,.375,.488,0.1,0.3,.400,0.1,1.1,1.2,0.7,0.9,0.5,0.6,1.8,2.6
11,Jason Terry,40,7,0,8.4,0.3,1.7,.167,0.1,1.3,.111,0.1,0.4,.333,.208,0.3,0.3,1.000,0.0,0.7,0.7,0.9,0.6,0.1,0.3,0.4,1.0
12,Joel Bolomboy,24,4,0,7.5,0.3,1.0,.250,0.0,0.3,.000,0.3,0.8,.333,.250,0.8,1.5,.500,1.3,0.8,2.0,0.0,0.5,0.0,0.5,0.5,1.3
13,Gary Payton,25,6,2,7.3,1.0,2.3,.429,0.2,1.0,.167,0.8,1.3,.625,.464,0.0,0.0,,0.2,0.8,1.0,0.7,0.2,0.0,0.3,1.5,2.2
14,Rashad Vaughn,21,9,0,7.2,1.0,2.3,.429,0.6,1.3,.417,0.4,1.0,.444,.548,0.0,0.0,,0.0,0.3,0.3,0.4,0.2,0.2,0.1,0.6,2.6
15,Sterling Brown,22,5,0,5.8,0.8,2.4,.333,0.2,0.8,.250,0.6,1.6,.375,.375,0.0,0.0,,0.4,0.6,1.0,0.4,0.4,0.0,0.2,0.8,1.8
16,D.J. Wilson,21,8,0,4.3,0.5,1.1,.444,0.0,0.4,.000,0.5,0.8,.667,.444,0.0,0.0,,0.0,0.6,0.6,0.1,0.0,0.0,0.1,0.4,1.0
