,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Minnesota Timberwolves,Andrew Wiggins,21,82,82,37.2,8.6,19.1,.452,1.3,3.5,.356,7.4,15.6,.473,.484,5.0,6.6,.760,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6
1,Minnesota Timberwolves,Zach LaVine,21,47,47,37.2,6.9,15.1,.459,2.6,6.6,.387,4.4,8.5,.515,.544,2.5,3.0,.836,0.4,3.0,3.4,3.0,0.9,0.2,1.8,2.2,18.9
2,Minnesota Timberwolves,Karl-Anthony Towns,21,82,82,37.0,9.8,18.0,.542,1.2,3.4,.367,8.5,14.7,.582,.576,4.3,5.2,.832,3.6,8.7,12.3,2.7,0.7,1.3,2.6,2.9,25.1
3,Minnesota Timberwolves,Ricky Rubio,26,75,75,32.9,3.5,8.7,.402,0.8,2.6,.306,2.7,6.1,.443,.448,3.4,3.8,.891,0.9,3.2,4.1,9.1,1.7,0.1,2.6,2.7,11.1
4,Minnesota Timberwolves,Gorgui Dieng,27,82,82,32.4,4.0,8.1,.502,0.2,0.5,.372,3.9,7.5,.511,.514,1.7,2.0,.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0
5,Minnesota Timberwolves,Brandon Rush,31,47,33,21.9,1.5,4.0,.374,0.9,2.4,.386,0.6,1.6,.356,.492,0.3,0.4,.722,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2
6,Minnesota Timberwolves,Shabazz Muhammad,24,78,1,19.4,3.7,7.7,.482,0.6,1.9,.338,3.1,5.8,.528,.523,1.9,2.4,.774,1.1,1.7,2.8,0.4,0.3,0.1,0.7,1.1,9.9
7,Minnesota Timberwolves,Nemanja Bjelica,28,65,1,18.3,2.3,5.5,.424,0.9,2.7,.316,1.5,2.8,.531,.503,0.7,0.9,.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2
8,Minnesota Timberwolves,Kris Dunn,22,78,7,17.1,1.5,4.0,.377,0.3,0.9,.288,1.2,3.1,.404,.411,0.5,0.8,.610,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
9,Minnesota Timberwolves,Omri Casspi,28,13,0,17.1,1.5,2.9,.500,0.2,0.8,.200,1.3,2.2,.607,.526,0.4,0.6,.625,0.5,1.1,1.5,0.8,1.0,0.2,0.8,1.8,3.5
10,Minnesota Timberwolves,Tyus Jones,20,60,0,12.9,1.3,3.0,.414,0.4,1.2,.356,0.8,1.8,.454,.486,0.6,0.7,.767,0.2,1.0,1.1,2.6,0.8,0.1,0.6,0.8,3.5
11,Minnesota Timberwolves,Lance Stephenson,26,6,0,11.2,1.7,3.5,.476,0.0,0.3,.000,1.7,3.2,.526,.476,0.2,0.3,.500,0.0,1.7,1.7,0.8,0.0,0.0,0.7,0.3,3.5
12,Minnesota Timberwolves,Cole Aldrich,28,62,0,8.6,0.7,1.4,.523,0.0,0.0,,0.7,1.4,.523,.523,0.2,0.4,.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7
13,Minnesota Timberwolves,Adreian Payne,25,18,0,7.5,1.3,3.0,.426,0.2,0.8,.200,1.1,2.2,.513,.454,0.8,1.1,.737,0.5,1.3,1.8,0.4,0.4,0.4,0.4,1.8,3.5
14,Minnesota Timberwolves,Jordan Hill,29,7,0,6.7,0.7,1.9,.385,0.0,0.0,,0.7,1.9,.385,.385,0.3,0.3,1.000,1.1,0.9,2.0,0.0,0.1,0.0,0.6,1.3,1.7
15,Minnesota Timberwolves,John Lucas III,34,5,0,2.2,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.0,0.0,,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4
