,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Minnesota Timberwolves,2017-2018,Andrew Wiggins,22,26,26,36.9,7.0,15.6,.447,1.3,4.3,.315,5.6,11.3,.497,.490,3.3,5.1,.644,1.0,3.0,4.0,1.9,1.2,0.6,1.9,1.8,18.5
1,Minnesota Timberwolves,2017-2018,Jimmy Butler,28,24,24,36.9,6.7,14.7,.453,1.1,3.1,.365,5.5,11.6,.477,.492,4.5,5.3,.843,1.3,4.2,5.4,4.8,1.8,0.3,2.0,1.5,18.9
2,Minnesota Timberwolves,2017-2018,Karl-Anthony Towns,22,26,26,34.8,7.5,14.3,.526,1.3,3.5,.367,6.2,10.8,.577,.570,3.5,4.2,.852,2.7,8.9,11.6,1.6,0.6,1.3,2.1,3.5,19.8
3,Minnesota Timberwolves,2017-2018,Jeff Teague,29,22,22,34.0,4.8,11.0,.432,1.5,3.6,.425,3.2,7.4,.436,.502,2.7,3.3,.819,0.3,2.5,2.9,7.5,1.6,0.4,3.0,2.5,13.8
4,Minnesota Timberwolves,2017-2018,Taj Gibson,32,26,26,33.2,4.5,8.3,.549,0.2,0.7,.278,4.3,7.6,.574,.560,2.1,2.5,.833,2.8,5.6,8.3,1.6,0.9,0.6,1.4,2.6,11.4
5,Minnesota Timberwolves,2017-2018,Jamal Crawford,37,26,0,17.5,3.2,8.0,.399,1.2,3.5,.352,2.0,4.5,.436,.476,1.6,1.7,.932,0.2,0.9,1.1,2.0,0.5,0.1,1.2,1.1,9.2
6,Minnesota Timberwolves,2017-2018,Tyus Jones,21,26,3,17.3,1.4,3.3,.424,0.5,1.3,.382,0.9,2.0,.451,.500,0.7,0.8,.773,0.2,1.7,1.9,2.8,1.1,0.1,0.6,1.1,3.9
7,Minnesota Timberwolves,2017-2018,Gorgui Dieng,28,23,0,17.1,2.7,5.1,.521,0.2,1.0,.227,2.4,4.1,.589,.543,1.3,1.8,.756,1.7,3.0,4.6,1.3,0.6,0.1,1.0,2.0,6.9
8,Minnesota Timberwolves,2017-2018,Nemanja Bjelica,29,18,0,15.3,2.7,4.6,.578,1.2,2.3,.512,1.5,2.3,.643,.705,0.6,0.7,.917,0.4,2.4,2.8,0.7,0.6,0.2,0.7,1.7,7.1
9,Minnesota Timberwolves,2017-2018,Shabazz Muhammad,25,22,2,11.4,1.6,4.1,.385,0.2,0.9,.211,1.4,3.3,.431,.407,0.6,0.8,.722,0.5,1.2,1.7,0.3,0.2,0.1,0.1,0.9,4.0
10,Minnesota Timberwolves,2017-2018,Aaron Brooks,33,11,1,4.8,0.9,1.9,.476,0.5,0.9,.500,0.5,1.0,.455,.595,0.1,0.2,.500,0.2,0.4,0.5,0.6,0.1,0.0,0.2,0.6,2.4
11,Minnesota Timberwolves,2017-2018,Cole Aldrich,29,5,0,2.0,0.0,0.4,.000,0.0,0.0,,0.0,0.4,.000,.000,0.2,0.4,.500,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.2
12,Minnesota Timberwolves,2017-2018,Marcus Georges-Hunt,23,9,0,1.7,0.2,0.4,.500,0.0,0.1,.000,0.2,0.3,.667,.500,0.0,0.0,,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.2,0.4
