,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,New Orleans Pelicans,Jrue Holiday,27,24,24,36.4,6.5,14.1,.460,1.3,4.8,.278,5.2,9.3,.554,.507,2.0,2.3,.855,0.7,3.8,4.4,5.5,1.2,0.4,2.6,2.4,16.3
1,New Orleans Pelicans,DeMarcus Cousins,27,24,24,35.5,8.8,19.1,.461,2.2,6.7,.331,6.6,12.4,.530,.519,5.5,7.4,.746,2.0,10.3,12.3,5.2,1.6,1.6,5.0,3.5,25.3
2,New Orleans Pelicans,Anthony Davis,24,21,21,34.9,9.2,16.0,.573,0.7,1.9,.359,8.5,14.2,.601,.593,6.2,7.9,.783,2.4,8.6,11.0,2.6,1.2,1.7,2.2,1.9,25.2
3,New Orleans Pelicans,E'Twaun Moore,28,24,22,31.0,5.2,9.8,.525,1.7,3.8,.451,3.5,6.0,.572,.612,0.5,0.8,.611,0.8,1.7,2.5,2.0,1.0,0.2,1.3,2.5,12.5
4,New Orleans Pelicans,Jameer Nelson,35,22,0,24.8,2.3,5.1,.451,1.0,2.6,.404,1.3,2.5,.500,.553,0.5,0.7,.800,0.3,2.3,2.6,4.3,0.8,0.1,1.6,1.7,6.2
5,New Orleans Pelicans,Rajon Rondo,31,11,10,23.6,3.0,6.6,.452,0.6,2.3,.280,2.4,4.4,.542,.500,0.0,0.0,,0.4,3.2,3.5,7.3,0.7,0.2,1.6,2.0,6.6
6,New Orleans Pelicans,Dante Cunningham,30,24,18,22.8,2.1,5.1,.410,0.8,2.8,.299,1.3,2.3,.545,.492,0.4,0.8,.556,1.0,3.0,4.0,0.7,0.5,0.3,0.3,1.9,5.4
7,New Orleans Pelicans,Darius Miller,27,24,1,19.3,2.5,5.3,.484,2.0,4.1,.475,0.6,1.1,.519,.671,0.6,0.7,.882,0.1,1.5,1.6,1.1,0.3,0.1,0.6,1.7,7.7
8,New Orleans Pelicans,Jordan Crawford,29,2,0,18.5,3.5,7.0,.500,2.0,2.5,.800,1.5,4.5,.333,.643,0.0,0.0,,1.0,0.5,1.5,4.5,0.0,0.5,2.0,3.0,9.0
9,New Orleans Pelicans,Ian Clark,26,21,0,14.3,1.6,4.6,.351,0.7,2.4,.294,0.9,2.2,.413,.428,0.4,0.6,.667,0.1,1.2,1.3,1.4,0.4,0.0,0.7,1.1,4.3
10,New Orleans Pelicans,Tony Allen,36,20,0,12.9,2.0,4.3,.465,0.2,0.6,.333,1.8,3.7,.486,.488,0.6,1.1,.524,1.0,1.4,2.4,0.5,0.5,0.2,1.0,2.3,4.8
11,New Orleans Pelicans,Omer Asik,31,3,0,12.0,1.3,2.7,.500,0.0,0.0,,1.3,2.7,.500,.500,0.3,0.7,.500,0.7,3.7,4.3,0.3,0.0,0.0,0.3,1.0,3.0
12,New Orleans Pelicans,Cheick Diallo,21,15,0,7.3,1.2,2.1,.563,0.0,0.0,,1.2,2.1,.563,.563,0.2,0.4,.500,0.5,1.7,2.2,0.2,0.0,0.1,0.5,1.3,2.6
13,New Orleans Pelicans,Josh Smith,32,3,0,4.0,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.0,0.0,,1.0,0.3,1.3,0.0,0.0,0.0,0.0,1.0,0.7
14,New Orleans Pelicans,Jalen Jones,24,3,0,3.3,0.3,1.0,.333,0.3,0.3,1.000,0.0,0.7,.000,.500,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.3,1.7
15,New Orleans Pelicans,Charles Cooke,23,2,0,2.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0
