,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,New York Knicks,2017-2018,Tim Hardaway,25,21,21,34.1,6.3,15.1,.420,2.3,7.2,.316,4.0,7.9,.515,.495,2.9,3.6,.800,0.8,3.4,4.2,3.3,1.1,0.2,1.7,2.2,17.8
1,New York Knicks,2017-2018,Courtney Lee,32,24,24,32.5,5.0,10.0,.498,1.7,3.6,.465,3.3,6.4,.516,.582,1.5,1.7,.925,0.5,3.1,3.6,2.9,1.4,0.1,1.3,1.4,13.1
2,New York Knicks,2017-2018,Kristaps Porzingis,22,20,20,31.6,9.0,19.3,.465,2.0,4.8,.406,7.0,14.5,.484,.516,5.6,6.6,.841,1.3,5.5,6.7,1.1,0.5,2.1,2.3,2.7,25.4
3,New York Knicks,2017-2018,Jarrett Jack,34,22,21,26.0,2.5,6.0,.421,0.4,1.1,.320,2.2,4.9,.444,.451,0.4,0.5,.750,0.2,3.1,3.3,6.1,0.5,0.0,1.7,1.5,5.9
4,New York Knicks,2017-2018,Enes Kanter,25,21,21,26.0,5.9,9.5,.618,0.0,0.0,.000,5.9,9.4,.621,.618,2.1,2.3,.917,3.8,6.7,10.5,1.3,0.6,0.5,1.8,2.5,13.8
5,New York Knicks,2017-2018,Doug McDermott,26,24,0,23.4,3.1,6.5,.477,1.1,2.7,.400,2.0,3.8,.533,.561,0.5,0.7,.765,0.8,2.2,3.0,1.1,0.2,0.3,0.7,1.7,7.8
6,New York Knicks,2017-2018,Frank Ntilikina,19,21,0,19.3,2.0,5.8,.336,0.4,1.8,.243,1.5,4.0,.376,.373,0.9,1.2,.720,0.4,1.5,1.9,3.1,1.3,0.1,2.0,2.7,5.2
7,New York Knicks,2017-2018,Kyle O'Quinn,27,24,3,16.4,2.4,4.5,.532,0.0,0.2,.000,2.4,4.4,.552,.532,1.2,1.5,.778,1.6,4.6,6.2,2.0,0.5,1.0,1.7,2.7,6.0
8,New York Knicks,2017-2018,Lance Thomas,29,21,1,15.8,1.4,3.8,.380,0.5,1.4,.333,1.0,2.3,.408,.443,0.9,1.1,.792,0.8,1.9,2.7,0.5,0.2,0.0,0.6,1.6,4.2
9,New York Knicks,2017-2018,Michael Beasley,29,18,4,15.3,3.8,7.1,.531,0.1,0.7,.167,3.7,6.4,.569,.539,0.9,1.4,.640,1.0,2.5,3.5,0.9,0.1,0.4,2.0,1.4,8.6
10,New York Knicks,2017-2018,Ramon Sessions,31,10,3,14.9,1.6,4.9,.327,0.2,1.1,.182,1.4,3.8,.368,.347,1.2,1.5,.800,0.1,1.3,1.4,2.7,0.7,0.1,1.4,1.3,4.6
11,New York Knicks,2017-2018,Ron Baker,24,7,0,12.4,0.7,1.7,.417,0.6,0.9,.667,0.1,0.9,.167,.583,1.1,2.0,.571,0.0,0.6,0.6,2.7,1.0,0.0,1.1,0.9,3.1
12,New York Knicks,2017-2018,Willy Hernangomez,23,14,0,10.9,2.5,4.4,.574,0.1,0.3,.250,2.4,4.1,.596,.582,0.3,1.1,.267,1.4,2.3,3.6,0.9,0.4,0.4,1.4,1.8,5.4
13,New York Knicks,2017-2018,Damyean Dotson,23,16,2,9.0,1.1,2.6,.439,0.4,1.1,.333,0.8,1.4,.522,.512,0.1,0.2,.667,0.2,1.3,1.5,0.4,0.1,0.1,0.2,0.6,2.8
14,New York Knicks,2017-2018,Joakim Noah,32,2,0,5.5,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.5,1.0,.500,1.0,1.5,2.5,1.5,0.5,0.5,0.5,0.5,2.5
15,New York Knicks,2017-2018,Mindaugas Kuzminskas,28,1,0,2.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
