,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Oklahoma City Thunder,2014-2015,Russell Westbrook,26,67,67,34.4,9.4,22.0,.426,1.3,4.3,.299,8.1,17.7,.457,.455,8.1,9.8,.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1
1,Oklahoma City Thunder,2014-2015,Kevin Durant,26,27,27,33.8,8.8,17.3,.510,2.4,5.9,.403,6.4,11.4,.565,.578,5.4,6.3,.854,0.6,6.0,6.6,4.1,0.9,0.9,2.7,1.5,25.4
2,Oklahoma City Thunder,2014-2015,Serge Ibaka,25,64,64,33.1,5.8,12.3,.476,1.2,3.2,.376,4.6,9.1,.511,.525,1.4,1.7,.836,2.1,5.7,7.8,0.9,0.5,2.4,1.5,3.0,14.3
3,Oklahoma City Thunder,2014-2015,Enes Kanter,22,26,26,31.1,7.5,13.3,.566,0.1,0.2,.750,7.4,13.2,.564,.571,3.5,4.5,.776,5.0,6.0,11.0,1.1,0.5,0.5,2.0,2.9,18.7
4,Oklahoma City Thunder,2014-2015,Dion Waiters,23,47,20,30.3,5.0,12.9,.392,1.1,3.4,.319,4.0,9.4,.419,.435,1.5,2.4,.625,0.6,2.3,2.9,1.9,1.0,0.2,1.3,2.0,12.7
5,Oklahoma City Thunder,2014-2015,Reggie Jackson,24,50,13,28.0,5.0,11.5,.432,0.9,3.2,.278,4.1,8.4,.490,.470,2.0,2.3,.861,0.6,3.5,4.0,4.3,0.8,0.1,1.8,1.9,12.8
6,Oklahoma City Thunder,2014-2015,Steven Adams,21,70,67,25.3,3.1,5.7,.544,0.0,0.0,.000,3.1,5.7,.547,.544,1.5,2.9,.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7
7,Oklahoma City Thunder,2014-2015,Anthony Morrow,29,74,0,24.4,3.9,8.3,.463,1.9,4.4,.434,1.9,3.9,.497,.578,1.1,1.2,.888,0.5,2.1,2.6,0.8,0.7,0.1,0.5,1.8,10.7
8,Oklahoma City Thunder,2014-2015,D.J. Augustin,27,28,1,24.2,2.5,6.6,.371,1.2,3.4,.354,1.3,3.2,.389,.462,1.1,1.3,.861,0.3,1.9,2.2,3.1,0.6,0.0,1.3,1.1,7.3
9,Oklahoma City Thunder,2014-2015,Lance Thomas,26,22,13,20.5,2.0,5.7,.357,0.0,0.0,.000,2.0,5.7,.360,.357,1.0,1.5,.697,1.3,2.1,3.4,0.9,0.5,0.0,0.8,1.7,5.1
10,Oklahoma City Thunder,2014-2015,Sebastian Telfair,29,16,1,20.4,2.9,7.8,.368,1.1,3.8,.300,1.8,4.1,.431,.440,1.5,2.1,.706,0.1,1.8,1.9,2.8,0.6,0.0,1.1,1.8,8.4
11,Oklahoma City Thunder,2014-2015,Andre Roberson,23,67,65,19.2,1.4,3.0,.458,0.3,1.3,.247,1.1,1.7,.612,.510,0.3,0.7,.479,0.9,2.9,3.8,1.0,0.8,0.4,0.7,2.1,3.4
12,Oklahoma City Thunder,2014-2015,Kendrick Perkins,30,51,3,19.2,1.6,3.6,.441,0.0,0.0,.000,1.6,3.6,.443,.441,0.7,1.5,.507,1.6,3.9,5.5,0.8,0.3,0.7,1.5,2.6,4.0
13,Oklahoma City Thunder,2014-2015,Kyle Singler,26,26,18,17.5,1.2,3.7,.333,0.8,2.1,.370,0.5,1.6,.286,.438,0.4,0.6,.688,0.4,1.7,2.1,0.7,0.5,0.3,0.5,2.1,3.7
14,Oklahoma City Thunder,2014-2015,Nick Collison,34,66,2,16.7,1.6,3.8,.419,0.2,0.9,.267,1.4,2.9,.466,.451,0.7,1.0,.692,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1
15,Oklahoma City Thunder,2014-2015,Mitch McGary,22,32,2,15.2,2.8,5.2,.533,0.0,0.1,.000,2.8,5.1,.540,.533,0.8,1.3,.625,1.7,3.5,5.2,0.4,0.5,0.5,1.0,2.3,6.3
16,Oklahoma City Thunder,2014-2015,Perry Jones,23,43,13,14.7,1.7,4.3,.397,0.3,1.4,.233,1.4,2.9,.476,.435,0.6,0.9,.649,0.1,1.6,1.8,0.4,0.4,0.2,0.6,1.2,4.3
17,Oklahoma City Thunder,2014-2015,Jeremy Lamb,22,47,8,13.5,2.2,5.3,.416,0.8,2.4,.342,1.4,3.0,.475,.492,1.0,1.2,.891,0.2,2.1,2.3,0.9,0.4,0.1,0.6,1.1,6.3
18,Oklahoma City Thunder,2014-2015,Steve Novak,31,13,0,6.8,0.5,1.6,.286,0.2,1.2,.200,0.2,0.5,.500,.357,0.0,0.0,,0.1,0.4,0.5,0.4,0.0,0.1,0.2,0.8,1.2
19,Oklahoma City Thunder,2014-2015,Ish Smith,26,30,0,5.2,0.5,1.5,.333,0.0,0.2,.200,0.5,1.3,.350,.344,0.2,0.3,.667,0.2,0.7,0.9,0.9,0.1,0.0,0.3,0.4,1.2
20,Oklahoma City Thunder,2014-2015,Grant Jerrett,21,5,0,5.0,0.6,3.4,.176,0.2,2.6,.077,0.4,0.8,.500,.206,0.0,0.0,,0.2,0.6,0.8,0.2,0.0,0.4,0.4,1.4,1.4
