,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Oklahoma City Thunder,Paul George,27,23,23,37.1,7.2,17.3,.416,3.0,7.5,.407,4.1,9.8,.422,.504,3.3,4.0,.815,0.8,5.0,5.8,3.3,2.5,0.6,2.8,2.9,20.7
1,Oklahoma City Thunder,Russell Westbrook,29,23,23,35.7,7.9,19.6,.404,1.9,5.7,.328,6.0,13.9,.436,.452,4.8,6.7,.716,1.6,7.7,9.3,9.9,2.1,0.1,5.0,2.7,22.5
2,Oklahoma City Thunder,Carmelo Anthony,33,22,22,32.4,6.7,16.1,.415,2.2,6.3,.348,4.5,9.8,.458,.483,2.9,3.6,.810,0.8,5.5,6.3,1.6,0.9,0.7,1.5,2.8,18.5
3,Oklahoma City Thunder,Steven Adams,24,20,20,31.3,5.8,8.8,.653,0.0,0.0,,5.8,8.8,.653,.653,2.0,2.9,.690,4.4,3.8,8.2,0.8,1.4,1.1,1.8,2.7,13.5
4,Oklahoma City Thunder,Andre Roberson,26,23,23,25.6,2.2,4.0,.538,0.3,1.3,.233,1.9,2.7,.683,.575,0.2,0.5,.333,1.7,2.3,4.0,1.0,0.8,0.8,1.0,2.0,4.8
5,Oklahoma City Thunder,Jerami Grant,23,23,1,22.3,3.0,6.0,.511,0.4,1.6,.278,2.6,4.4,.594,.547,1.9,2.7,.705,1.3,2.6,3.8,0.9,0.7,0.9,0.9,2.1,8.4
6,Oklahoma City Thunder,Raymond Felton,33,23,0,16.8,2.7,6.1,.433,0.7,2.0,.340,2.0,4.1,.479,.489,0.5,0.7,.688,0.2,1.4,1.7,2.2,0.7,0.1,0.7,1.0,6.5
7,Oklahoma City Thunder,Alex Abrines,24,21,0,15.4,1.4,3.7,.377,0.8,2.5,.308,0.6,1.2,.520,.481,0.4,0.6,.750,0.4,1.1,1.5,0.4,0.6,0.0,0.4,1.9,4.0
8,Oklahoma City Thunder,Patrick Patterson,28,23,0,13.5,0.8,2.5,.333,0.6,1.8,.317,0.3,0.7,.375,.447,0.1,0.1,1.000,0.2,1.5,1.7,0.4,0.6,0.1,0.4,1.1,2.3
9,Oklahoma City Thunder,Josh Huestis,26,18,0,11.2,0.7,2.6,.283,0.6,1.9,.294,0.2,0.7,.250,.391,0.1,0.3,.333,0.4,1.2,1.6,0.4,0.3,0.5,0.6,1.6,2.1
10,Oklahoma City Thunder,Dakari Johnson,22,11,3,6.9,0.9,1.9,.476,0.0,0.0,,0.9,1.9,.476,.476,0.6,1.1,.583,0.7,0.5,1.2,0.5,0.3,0.4,0.2,1.5,2.5
11,Oklahoma City Thunder,Terrance Ferguson,19,14,0,6.4,0.4,1.3,.333,0.1,0.6,.111,0.4,0.6,.556,.361,0.1,0.1,.500,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.9,1.0
12,Oklahoma City Thunder,Nick Collison,37,3,0,5.0,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.7,0.7,1.000,0.3,1.0,1.3,0.7,0.0,0.0,0.3,0.3,2.0
13,Oklahoma City Thunder,Daniel Hamilton,22,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Oklahoma City Thunder,Kyle Singler,29,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
