,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Orlando Magic,2017-2018,Aaron Gordon,22,24,24,33.9,6.6,13.3,.495,2.3,5.5,.406,4.3,7.8,.559,.580,3.3,4.3,.765,1.5,6.8,8.3,2.2,1.0,0.9,1.5,1.9,18.7
1,Orlando Magic,2017-2018,Evan Fournier,25,26,26,32.5,6.7,14.0,.478,2.3,5.5,.415,4.4,8.5,.518,.559,2.7,3.1,.864,0.5,2.7,3.2,3.0,1.1,0.3,1.9,2.4,18.3
2,Orlando Magic,2017-2018,Nikola Vucevic,27,26,26,30.1,7.0,14.2,.489,1.4,4.2,.339,5.5,10.0,.552,.539,1.3,1.7,.814,1.6,7.2,8.8,3.1,1.0,1.1,1.7,2.5,16.7
3,Orlando Magic,2017-2018,Elfrid Payton,23,17,17,28.0,4.6,9.4,.494,0.5,1.6,.321,4.1,7.8,.530,.522,1.0,1.9,.515,1.2,2.8,4.0,6.7,1.6,0.4,2.7,2.2,10.8
4,Orlando Magic,2017-2018,Jonathon Simmons,28,26,7,27.5,5.3,10.9,.482,0.9,2.7,.329,4.4,8.2,.533,.523,2.8,3.8,.740,0.8,2.4,3.2,1.8,0.8,0.1,2.2,2.6,14.3
5,Orlando Magic,2017-2018,Terrence Ross,26,22,20,26.2,3.3,8.0,.407,1.3,3.9,.329,2.0,4.2,.478,.486,1.2,1.6,.743,0.5,2.7,3.2,1.6,1.2,0.5,1.1,2.0,9.0
6,Orlando Magic,2017-2018,Jonathan Isaac,20,12,2,19.9,2.3,5.1,.459,0.4,1.4,.294,1.9,3.7,.523,.500,1.0,1.2,.857,0.9,3.5,4.4,0.8,0.7,1.3,1.0,2.1,6.1
7,Orlando Magic,2017-2018,D.J. Augustin,30,19,6,19.6,2.7,5.4,.505,1.1,2.3,.477,1.6,3.1,.525,.607,1.9,2.3,.837,0.3,1.6,1.8,3.4,0.7,0.0,1.7,1.5,8.5
8,Orlando Magic,2017-2018,Shelvin Mack,27,19,2,17.2,1.6,4.2,.380,0.4,1.3,.292,1.2,2.9,.418,.424,0.6,0.9,.706,0.3,1.6,1.9,4.4,0.6,0.1,0.9,0.9,4.2
9,Orlando Magic,2017-2018,Bismack Biyombo,25,26,0,15.6,1.6,3.2,.494,0.0,0.0,.000,1.6,3.2,.500,.494,1.1,1.9,.571,1.3,3.1,4.5,0.3,0.2,1.2,1.1,2.0,4.2
10,Orlando Magic,2017-2018,Arron Afflalo,32,20,0,12.5,0.8,2.4,.333,0.3,1.2,.261,0.5,1.3,.400,.396,0.4,0.6,.667,0.1,1.5,1.6,0.6,0.1,0.2,0.4,1.1,2.3
11,Orlando Magic,2017-2018,Marreese Speights,30,20,0,11.5,2.6,6.5,.403,1.8,4.4,.398,0.9,2.1,.415,.539,0.4,0.7,.571,0.4,1.9,2.2,0.5,0.2,0.3,0.6,1.9,7.4
12,Orlando Magic,2017-2018,Mario Hezonja,22,19,0,9.8,1.2,2.8,.415,0.4,1.3,.320,0.7,1.5,.500,.491,0.2,0.2,.750,0.4,1.4,1.8,0.6,0.4,0.1,0.7,0.8,2.9
13,Orlando Magic,2017-2018,Wesley Iwundu,23,8,0,5.1,0.5,1.8,.286,0.0,0.0,,0.5,1.8,.286,.286,0.1,0.4,.333,0.1,0.8,0.9,0.5,0.1,0.0,0.4,0.5,1.1
14,Orlando Magic,2017-2018,Khem Birch,25,3,0,3.3,0.7,1.7,.400,0.0,0.0,,0.7,1.7,.400,.400,0.0,0.0,,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.0,1.3
