,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Ben Simmons,21,19,19,35.4,7.7,15.2,.510,0.0,0.4,.000,7.7,14.7,.525,.510,3.3,5.9,.554,2.3,7.3,9.5,7.2,2.1,0.8,3.6,2.6,18.7
1,J.J. Redick,33,18,18,33.1,5.6,12.9,.429,2.4,6.3,.389,3.1,6.7,.467,.524,1.8,1.9,.914,0.3,2.7,2.9,3.5,0.6,0.1,1.3,2.3,15.3
2,Robert Covington,27,20,20,31.4,5.1,11.3,.453,3.1,7.3,.425,2.0,4.0,.506,.591,1.6,2.0,.800,1.1,5.2,6.2,1.7,1.7,0.7,1.8,3.5,14.9
3,Joel Embiid,23,18,18,29.6,8.2,16.7,.493,0.7,2.8,.255,7.5,13.8,.542,.515,5.8,7.6,.759,2.5,8.8,11.3,3.3,0.7,1.8,4.1,3.6,22.9
4,Dario Saric,23,20,15,27.9,4.1,9.9,.411,1.5,4.5,.337,2.6,5.4,.472,.487,1.3,1.5,.862,1.9,4.4,6.2,1.7,0.5,0.5,1.5,2.0,10.9
5,Jerryd Bayless,29,14,7,27.8,3.4,7.4,.452,1.5,4.0,.375,1.9,3.4,.542,.553,1.5,1.9,.778,0.2,2.0,2.2,1.9,0.7,0.2,1.3,2.3,9.7
6,T.J. McConnell,25,20,1,24.4,3.1,5.8,.526,0.5,0.8,.563,2.6,5.0,.520,.565,0.5,0.6,.833,0.6,3.0,3.6,5.4,1.2,0.2,2.0,2.2,7.1
7,Markelle Fultz,19,4,0,19.0,2.3,6.8,.333,0.0,0.0,,2.3,6.8,.333,.333,1.5,3.0,.500,0.8,1.5,2.3,1.8,0.5,0.3,1.5,1.5,6.0
8,Timothe Luwawu-Cabarrot,22,19,0,16.4,2.4,6.0,.395,1.1,3.5,.318,1.3,2.5,.500,.487,1.3,1.7,.758,0.4,1.2,1.6,0.9,0.4,0.1,0.9,2.1,7.2
9,Amir Johnson,30,18,1,15.1,1.9,3.8,.515,0.1,0.5,.111,1.9,3.3,.576,.522,0.4,1.1,.421,2.1,3.7,5.8,0.9,0.6,0.8,0.8,2.7,4.4
10,Justin Anderson,24,10,0,12.6,1.8,4.8,.375,0.9,2.6,.346,0.9,2.2,.409,.469,0.5,0.7,.714,1.0,1.7,2.7,0.3,0.3,0.1,0.4,1.9,5.0
11,Jahlil Okafor,22,2,0,12.5,2.0,4.5,.444,0.0,0.0,,2.0,4.5,.444,.444,1.0,2.0,.500,2.0,2.5,4.5,0.5,0.0,1.0,1.5,3.5,5.0
12,Richaun Holmes,24,8,1,11.1,1.6,3.0,.542,0.0,0.5,.000,1.6,2.5,.650,.542,0.9,1.3,.700,0.8,2.4,3.1,0.9,0.1,0.4,0.3,2.3,4.1
13,James Michael McAdoo,25,1,0,7.0,1.0,4.0,.250,1.0,4.0,.250,0.0,0.0,,.375,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
14,Nik Stauskas,24,3,0,6.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.7,0.0,0.7,0.3,1.3
15,Furkan Korkmaz,20,5,0,2.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.4,0.4,1.000,0.2,0.4,0.6,0.2,0.2,0.0,0.0,0.2,0.8
16,Jacob Pullen,28,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
