,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Phoenix Suns,Devin Booker,21,25,25,34.0,8.5,18.8,.453,2.5,6.5,.383,6.0,12.3,.490,.519,4.8,5.5,.870,0.6,4.0,4.5,4.1,0.9,0.3,3.2,3.0,24.3
1,Phoenix Suns,T.J. Warren,24,26,26,30.9,7.7,15.5,.495,0.3,1.5,.175,7.4,13.9,.530,.504,2.8,3.8,.745,2.0,3.7,5.7,1.2,0.9,0.8,1.4,2.2,18.4
2,Phoenix Suns,Eric Bledsoe,28,3,3,27.7,5.3,13.3,.400,1.3,4.3,.308,4.0,9.0,.444,.450,3.7,4.7,.786,1.0,1.3,2.3,3.0,1.3,0.7,3.3,2.0,15.7
3,Phoenix Suns,Tyson Chandler,35,19,19,25.9,3.1,4.7,.656,0.0,0.0,,3.1,4.7,.656,.656,1.4,2.2,.659,3.1,6.7,9.8,1.0,0.4,0.7,1.2,2.7,7.6
4,Phoenix Suns,Tyler Ulis,22,25,13,23.2,3.0,7.8,.387,0.4,1.6,.256,2.6,6.2,.419,.412,1.5,1.9,.809,0.2,1.5,1.7,4.2,1.0,0.1,2.0,1.6,7.9
5,Phoenix Suns,Alex Len,24,22,2,22.2,3.0,6.1,.500,0.0,0.0,,3.0,6.1,.500,.500,3.0,4.0,.750,3.1,5.9,9.0,0.8,0.3,0.9,1.3,2.4,9.1
6,Phoenix Suns,Greg Monroe,27,9,7,21.8,4.7,7.8,.600,0.0,0.0,,4.7,7.8,.600,.600,1.4,1.8,.813,2.3,5.1,7.4,2.3,0.9,0.3,2.0,2.2,10.8
7,Phoenix Suns,Mike James,27,26,10,21.8,3.8,9.8,.387,0.8,3.1,.275,3.0,6.8,.438,.430,2.0,2.6,.765,0.4,2.5,2.9,4.0,0.8,0.3,1.6,1.4,10.5
8,Phoenix Suns,Josh Jackson,20,26,4,21.5,3.5,8.9,.392,0.6,2.4,.238,2.9,6.5,.450,.425,1.7,3.0,.544,0.8,2.8,3.5,1.0,1.2,0.2,2.0,2.7,9.2
9,Phoenix Suns,Dragan Bender,20,26,1,21.0,1.8,4.8,.376,1.2,3.2,.366,0.7,1.7,.395,.496,0.5,0.6,.750,0.4,3.0,3.4,1.0,0.3,0.7,1.0,1.5,5.2
10,Phoenix Suns,Marquese Chriss,20,26,20,19.8,2.1,5.4,.390,0.7,2.2,.316,1.4,3.2,.440,.454,1.0,1.4,.730,0.8,3.8,4.6,1.2,0.5,1.1,1.1,2.9,6.0
11,Phoenix Suns,Jared Dudley,32,10,0,14.9,1.4,2.8,.500,0.9,1.7,.529,0.5,1.1,.455,.661,0.8,1.0,.800,0.4,2.3,2.7,2.1,0.7,0.2,0.5,2.1,4.5
12,Phoenix Suns,Troy Daniels,26,26,0,14.9,2.2,5.2,.433,1.8,4.1,.434,0.5,1.1,.429,.604,0.1,0.2,.750,0.1,0.9,1.0,0.4,0.2,0.0,0.6,1.3,6.3
13,Phoenix Suns,Alec Peters,22,2,0,7.0,0.5,2.0,.250,0.5,2.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,1.0,0.0,0.5,1.5
14,Phoenix Suns,Derrick Jones,20,6,0,5.5,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.8,1.0,.833,0.3,0.3,0.7,0.5,0.2,0.7,0.2,0.3,1.5
