,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Sacramento Kings,2017-2018,De'Aaron Fox,20,24,11,26.2,4.1,10.2,.406,0.4,1.4,.273,3.8,8.8,.427,.424,1.5,2.1,.700,0.5,2.6,3.2,4.1,0.8,0.3,2.3,2.3,10.1
1,Sacramento Kings,2017-2018,Garrett Temple,31,23,17,25.8,2.9,7.4,.392,1.6,4.0,.402,1.3,3.4,.380,.500,1.0,1.3,.759,0.2,2.1,2.3,1.6,1.1,0.5,1.2,2.0,8.4
2,Sacramento Kings,2017-2018,George Hill,31,22,22,25.8,3.3,7.4,.444,1.1,2.5,.436,2.2,4.9,.449,.519,1.3,1.7,.784,0.4,2.5,3.0,2.4,0.9,0.3,1.2,1.6,9.0
3,Sacramento Kings,2017-2018,Zach Randolph,36,22,21,25.2,6.0,12.3,.489,0.6,2.0,.326,5.4,10.3,.520,.515,1.5,1.9,.780,1.6,4.9,6.5,2.2,0.9,0.2,1.7,1.8,14.1
4,Sacramento Kings,2017-2018,Willie Cauley-Stein,24,23,16,24.6,4.2,8.4,.500,0.0,0.3,.167,4.2,8.2,.511,.503,1.7,2.4,.709,1.7,4.2,5.9,2.2,0.8,1.0,1.5,2.1,10.2
5,Sacramento Kings,2017-2018,Bogdan Bogdanovic,25,21,10,23.6,3.7,8.3,.440,1.0,3.2,.313,2.7,5.1,.519,.500,1.2,1.5,.839,0.3,1.9,2.2,2.2,1.1,0.3,1.6,1.7,9.6
6,Sacramento Kings,2017-2018,Buddy Hield,24,22,7,22.4,4.6,10.3,.445,1.9,4.1,.451,2.7,6.2,.441,.535,1.0,1.1,.880,0.7,3.0,3.7,1.6,1.2,0.2,1.4,1.9,12.0
7,Sacramento Kings,2017-2018,Kosta Koufos,28,24,1,18.4,2.1,3.9,.538,0.0,0.0,,2.1,3.9,.538,.538,0.6,1.4,.455,1.6,4.0,5.6,1.1,0.5,0.6,0.6,1.7,4.8
8,Sacramento Kings,2017-2018,Justin Jackson,22,17,5,18.2,2.5,6.2,.406,0.9,2.7,.326,1.6,3.5,.467,.476,0.4,0.6,.600,0.4,1.2,1.6,0.4,0.2,0.1,0.8,0.9,6.3
9,Sacramento Kings,2017-2018,JaKarr Sampson,24,4,1,17.8,1.8,4.0,.438,0.0,0.3,.000,1.8,3.8,.467,.438,0.5,0.5,1.000,1.8,4.3,6.0,0.5,0.3,0.3,0.0,2.8,4.0
10,Sacramento Kings,2017-2018,Frank Mason,23,17,0,17.6,2.8,6.4,.435,0.7,1.4,.500,2.1,4.9,.417,.491,1.9,2.5,.762,0.4,1.3,1.7,3.2,0.4,0.0,1.5,1.2,8.1
11,Sacramento Kings,2017-2018,Skal Labissiere,21,23,9,17.1,3.0,6.9,.443,0.2,0.4,.444,2.9,6.5,.443,.456,1.4,1.7,.800,1.3,2.7,4.0,0.7,0.4,0.7,1.1,2.2,7.7
12,Sacramento Kings,2017-2018,Vince Carter,41,15,0,12.2,1.0,3.3,.306,0.6,1.9,.321,0.4,1.4,.286,.398,0.2,0.4,.500,0.1,1.1,1.2,0.7,0.4,0.3,0.4,1.3,2.8
13,Sacramento Kings,2017-2018,Malachi Richardson,22,12,0,11.7,1.3,3.5,.357,0.6,1.5,.389,0.7,2.0,.333,.440,0.8,1.1,.769,0.2,0.8,0.9,0.5,0.5,0.0,0.3,1.2,3.9
14,Sacramento Kings,2017-2018,Georgios Papagiannis,20,4,0,6.3,1.3,1.8,.714,0.0,0.0,,1.3,1.8,.714,.714,0.0,0.0,,0.3,1.0,1.3,0.3,0.3,0.3,0.3,0.3,2.5
15,Sacramento Kings,2017-2018,Jack Cooley,26,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
