,Team,Season,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,San Antonio Spurs,2017-2018,LaMarcus Aldridge,32,24,24,33.3,8.7,17.2,.504,0.6,1.6,.385,8.0,15.6,.516,.522,4.6,5.5,.847,3.1,4.9,8.0,2.2,0.6,1.2,1.5,2.5,22.6
1,San Antonio Spurs,2017-2018,Danny Green,30,24,24,28.8,3.7,9.0,.414,1.8,4.8,.374,1.9,4.2,.460,.514,0.5,0.6,.733,0.5,3.5,4.0,2.1,1.1,1.2,1.5,1.3,9.7
2,San Antonio Spurs,2017-2018,Kyle Anderson,24,23,23,27.4,3.5,6.8,.513,0.2,0.5,.364,3.3,6.3,.524,.526,1.7,2.3,.755,1.3,4.6,6.0,3.0,1.2,0.8,1.3,1.6,8.9
3,San Antonio Spurs,2017-2018,Patty Mills,29,25,12,25.5,3.2,8.4,.388,1.8,5.0,.368,1.4,3.4,.417,.498,1.0,1.0,.923,0.3,2.0,2.3,3.6,0.8,0.2,1.3,1.4,9.3
4,San Antonio Spurs,2017-2018,Pau Gasol,37,25,25,25.3,4.2,8.6,.486,0.9,2.1,.434,3.2,6.4,.503,.540,2.0,2.4,.803,1.4,6.3,7.7,3.2,0.4,1.3,1.4,1.6,11.2
5,San Antonio Spurs,2017-2018,Rudy Gay,31,23,2,22.8,4.6,9.7,.469,0.7,2.2,.314,3.9,7.5,.514,.504,2.3,2.9,.806,1.3,4.1,5.3,1.7,1.0,0.6,1.7,2.0,12.2
6,San Antonio Spurs,2017-2018,Manu Ginobili,40,21,0,20.9,2.9,7.1,.407,0.9,3.0,.297,2.0,4.1,.488,.470,1.6,1.9,.872,0.3,1.9,2.2,2.4,0.7,0.2,1.9,2.1,8.3
7,San Antonio Spurs,2017-2018,Dejounte Murray,21,25,8,18.9,2.6,6.1,.418,0.1,0.4,.333,2.4,5.8,.424,.428,1.4,2.0,.735,1.1,3.2,4.4,2.4,0.8,0.2,1.7,1.6,6.7
8,San Antonio Spurs,2017-2018,Tony Parker,35,5,5,17.6,3.4,6.4,.531,0.0,0.2,.000,3.4,6.2,.548,.531,1.4,1.8,.778,0.4,1.6,2.0,5.0,0.0,0.2,1.4,0.8,8.2
9,San Antonio Spurs,2017-2018,Bryn Forbes,24,25,1,16.6,2.5,5.7,.444,1.2,2.8,.443,1.3,2.9,.444,.553,0.3,0.6,.467,0.3,1.0,1.3,0.8,0.2,0.1,0.4,1.2,6.6
10,San Antonio Spurs,2017-2018,Brandon Paul,26,25,1,11.6,1.2,2.6,.462,0.5,1.4,.353,0.7,1.2,.581,.554,0.5,0.8,.684,0.1,1.2,1.2,0.9,0.6,0.1,0.6,1.2,3.4
11,San Antonio Spurs,2017-2018,Joffrey Lauvergne,26,12,0,11.3,1.5,3.5,.429,0.0,0.3,.000,1.5,3.3,.462,.429,0.5,0.8,.600,1.4,2.2,3.6,0.8,0.3,0.0,0.8,1.6,3.5
12,San Antonio Spurs,2017-2018,Matt Costello,24,1,0,11.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,2.0,0.0,3.0,2.0
13,San Antonio Spurs,2017-2018,Darrun Hilliard,24,3,0,8.7,0.3,1.7,.200,0.0,0.7,.000,0.3,1.0,.333,.200,0.0,0.0,,0.0,0.7,0.7,0.3,0.3,0.0,1.0,1.3,0.7
14,San Antonio Spurs,2017-2018,Davis Bertans,25,21,0,8.2,1.3,2.9,.450,0.9,2.3,.396,0.4,0.6,.667,.608,0.3,0.4,.750,0.1,1.0,1.1,0.5,0.2,0.3,0.4,0.9,3.8
15,San Antonio Spurs,2017-2018,Derrick White,23,5,0,7.6,0.2,1.0,.200,0.0,0.0,,0.2,1.0,.200,.200,0.6,1.2,.500,0.4,1.2,1.6,0.6,0.6,0.4,0.2,0.8,1.0
