,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Utah Jazz,Gordon Hayward,24,76,76,34.4,6.4,14.3,.445,1.6,4.3,.364,4.8,10.0,.481,.500,4.9,6.1,.812,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3
1,Utah Jazz,Alec Burks,23,27,27,33.3,4.5,11.1,.403,1.0,2.5,.382,3.5,8.6,.409,.447,3.9,4.8,.822,0.7,3.5,4.2,3.0,0.6,0.2,1.9,2.4,13.9
2,Utah Jazz,Derrick Favors,23,74,74,30.8,6.5,12.4,.525,0.0,0.1,.167,6.5,12.3,.527,.526,3.0,4.5,.669,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16.0
3,Utah Jazz,Trey Burke,22,76,43,30.1,4.9,13.2,.368,1.6,5.1,.318,3.2,8.1,.400,.430,1.4,1.9,.752,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8
4,Utah Jazz,Enes Kanter,22,49,48,27.1,5.8,11.9,.491,0.3,0.8,.317,5.6,11.0,.505,.503,1.9,2.4,.788,3.0,4.8,7.8,0.5,0.5,0.3,1.9,2.3,13.8
5,Utah Jazz,Rudy Gobert,22,82,37,26.3,3.1,5.2,.604,0.0,0.0,.000,3.1,5.2,.607,.604,2.1,3.3,.623,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4
6,Utah Jazz,Dante Exum,19,82,41,22.2,1.8,5.1,.349,1.0,3.2,.314,0.8,1.9,.408,.448,0.2,0.4,.625,0.3,1.3,1.6,2.4,0.5,0.2,1.4,1.8,4.8
7,Utah Jazz,Rodney Hood,22,50,21,21.3,3.1,7.5,.414,1.2,3.4,.365,1.9,4.1,.456,.497,1.2,1.6,.763,0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,8.7
8,Utah Jazz,Joe Ingles,27,79,32,21.2,1.9,4.5,.415,0.9,2.6,.356,0.9,1.9,.493,.517,0.4,0.5,.750,0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5.0
9,Utah Jazz,Trevor Booker,27,79,5,19.8,2.9,5.9,.487,0.4,1.1,.345,2.5,4.8,.518,.518,1.1,1.9,.581,1.8,3.3,5.0,1.1,0.5,0.5,1.1,1.8,7.2
10,Utah Jazz,Elijah Millsap,27,47,5,19.7,1.7,5.1,.340,0.6,1.9,.311,1.1,3.1,.358,.399,1.2,1.8,.674,0.6,2.6,3.2,1.2,1.2,0.3,1.4,2.6,5.3
11,Utah Jazz,Chris Johnson,24,12,0,17.6,2.6,5.3,.484,1.1,3.2,.342,1.5,2.2,.692,.586,0.5,0.5,1.000,0.3,1.3,1.5,0.6,1.0,0.0,0.5,1.5,6.8
12,Utah Jazz,Bryce Cotton,22,15,0,10.6,1.9,4.6,.420,0.5,1.3,.350,1.5,3.3,.449,.471,1.0,1.2,.833,0.2,1.0,1.2,1.0,0.3,0.0,0.8,0.4,5.3
13,Utah Jazz,Grant Jerrett,21,3,0,8.7,1.3,3.0,.444,0.0,0.7,.000,1.3,2.3,.571,.444,0.3,0.3,1.000,0.3,1.3,1.7,0.7,0.7,0.0,0.3,1.3,3.0
14,Utah Jazz,Elliot Williams,25,5,0,8.4,1.2,2.6,.462,1.0,1.4,.714,0.2,1.2,.167,.654,0.2,0.4,.500,0.0,0.6,0.6,0.8,0.4,0.0,0.8,0.2,3.6
15,Utah Jazz,Patrick Christopher,26,4,1,7.3,0.8,3.0,.250,0.0,1.0,.000,0.8,2.0,.375,.250,0.0,0.0,,0.5,1.0,1.5,0.0,0.3,0.0,0.3,1.5,1.5
16,Utah Jazz,Jeremy Evans,27,38,0,7.0,0.8,1.5,.552,0.1,0.1,.400,0.8,1.4,.566,.569,0.6,0.8,.828,0.7,1.2,1.9,0.3,0.3,0.3,0.1,0.8,2.4
17,Utah Jazz,Ian Clark,23,23,0,7.0,0.7,1.9,.341,0.4,1.1,.360,0.3,0.8,.316,.443,0.2,0.2,1.000,0.2,0.4,0.6,0.4,0.3,0.1,0.3,0.5,1.9
18,Utah Jazz,Jack Cooley,23,16,0,5.4,0.6,1.4,.409,0.0,0.0,,0.6,1.4,.409,.409,0.6,1.3,.429,0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7
19,Utah Jazz,Steve Novak,31,22,0,5.0,0.7,1.6,.457,0.7,1.5,.485,0.0,0.1,.000,.686,0.0,0.1,.000,0.0,0.7,0.7,0.3,0.0,0.0,0.1,0.6,2.2
20,Utah Jazz,Jerrelle Benimon,23,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,0.5,0.0,0.0
21,Utah Jazz,Toure' Murry,25,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
