,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Rudy Gobert,25,12,12,33.8,5.2,8.3,.620,0.0,0.0,,5.2,8.3,.620,.620,3.6,5.0,.717,2.8,7.7,10.5,1.3,0.6,2.5,2.1,2.6,13.9
1,Joe Ingles,30,21,21,29.4,3.6,8.0,.450,2.5,5.3,.477,1.1,2.8,.397,.607,0.4,0.4,1.000,0.2,3.9,4.1,3.9,1.2,0.2,1.7,2.1,10.1
2,Ricky Rubio,27,20,20,28.9,4.2,10.7,.394,1.3,4.3,.294,3.0,6.4,.461,.453,3.3,3.7,.904,0.5,3.1,3.6,5.1,1.7,0.2,3.3,2.8,13.0
3,Rodney Hood,25,18,9,28.3,6.2,14.7,.419,2.8,7.1,.402,3.3,7.7,.435,.515,2.6,2.8,.920,0.3,2.3,2.6,1.8,0.7,0.2,1.9,1.9,17.7
4,Donovan Mitchell,21,21,13,28.3,5.5,14.3,.383,2.0,5.8,.344,3.5,8.5,.410,.453,1.9,2.3,.816,0.7,2.6,3.2,3.1,1.4,0.5,2.2,3.1,14.9
5,Derrick Favors,26,21,21,27.9,5.5,9.8,.558,0.2,0.7,.267,5.3,9.1,.581,.568,2.0,2.6,.745,2.1,4.2,6.3,1.6,0.8,1.0,1.6,2.2,13.1
6,Thabo Sefolosha,33,20,1,20.6,2.7,5.6,.486,0.8,2.1,.390,1.9,3.5,.543,.559,1.2,1.4,.852,0.7,3.7,4.4,0.9,1.5,0.2,0.8,1.5,7.4
7,Joe Johnson,36,7,0,19.1,2.6,6.6,.391,0.3,2.4,.118,2.3,4.1,.552,.413,0.9,1.0,.857,0.6,2.1,2.7,1.6,0.6,0.3,1.4,1.0,6.3
8,Alec Burks,26,20,0,17.5,2.5,6.6,.374,0.9,2.2,.386,1.6,4.4,.368,.439,1.5,1.7,.909,0.2,2.6,2.8,0.7,0.8,0.3,0.8,1.0,7.3
9,Jonas Jerebko,30,16,8,15.3,2.1,4.3,.493,1.1,2.3,.500,1.0,2.1,.485,.623,0.5,0.6,.800,1.0,2.7,3.7,0.7,0.3,0.1,0.3,1.9,5.9
10,Ekpe Udoh,30,21,0,14.9,0.9,1.9,.450,0.0,0.0,,0.9,1.9,.450,.450,0.8,1.0,.800,1.2,1.1,2.4,1.3,0.6,1.5,0.5,2.2,2.5
11,Raul Neto,25,14,0,14.0,2.0,4.2,.475,0.6,1.4,.421,1.4,2.9,.500,.542,0.5,0.7,.700,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.0,5.1
12,Royce O'Neale,24,12,0,7.9,0.8,2.3,.370,0.3,1.1,.308,0.5,1.2,.429,.444,0.4,0.7,.625,0.1,1.3,1.3,0.5,0.3,0.0,0.3,0.6,2.4
13,Tony Bradley,20,6,0,3.2,0.2,1.3,.125,0.0,0.2,.000,0.2,1.2,.143,.125,0.3,0.3,1.000,0.5,0.8,1.3,0.0,0.0,0.0,0.0,0.2,0.7
14,Nate Wolters,26,3,0,3.0,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,0.0,0.0,,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.3,0.0
