,Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
0,Washington Wizards,Bradley Beal,24,24,24,34.7,8.3,18.1,.460,2.2,6.0,.366,6.1,12.1,.507,.521,4.5,5.5,.805,0.8,3.3,4.2,3.3,1.1,0.5,2.7,1.9,23.3
1,Washington Wizards,John Wall,27,16,16,34.4,6.9,16.0,.434,1.2,3.8,.317,5.8,12.3,.469,.471,5.3,7.0,.750,0.4,3.0,3.4,9.2,1.1,1.1,3.0,2.1,20.3
2,Washington Wizards,Otto Porter,24,23,23,32.6,6.1,12.1,.507,1.8,3.8,.466,4.3,8.3,.526,.581,1.2,1.5,.824,1.3,5.8,7.0,1.7,1.6,0.5,0.7,2.1,15.3
3,Washington Wizards,Marcin Gortat,33,24,24,29.3,4.0,7.5,.530,0.0,0.0,,4.0,7.5,.530,.530,1.5,2.2,.660,2.3,6.3,8.6,2.0,0.7,0.7,1.4,2.3,9.5
4,Washington Wizards,Kelly Oubre,22,24,6,27.8,4.0,9.4,.422,1.6,4.1,.388,2.4,5.3,.449,.507,2.3,2.8,.821,0.9,4.3,5.2,1.0,1.0,0.4,1.1,2.5,11.8
5,Washington Wizards,Markieff Morris,28,17,17,23.4,3.9,9.2,.429,1.1,2.9,.380,2.8,6.2,.453,.490,0.9,1.1,.789,0.9,3.4,4.3,1.2,0.5,0.7,1.5,3.1,9.9
6,Washington Wizards,Tim Frazier,27,24,8,17.9,1.5,3.5,.417,0.4,1.3,.300,1.1,2.3,.481,.470,0.6,0.7,.875,0.3,2.0,2.3,3.8,1.0,0.1,1.5,2.0,3.9
7,Washington Wizards,Mike Scott,29,21,0,17.9,3.1,6.1,.516,0.7,1.8,.368,2.5,4.3,.578,.570,0.7,1.0,.750,0.7,2.8,3.4,0.6,0.4,0.2,1.0,1.8,7.7
8,Washington Wizards,Jodie Meeks,30,24,0,16.8,2.3,6.0,.382,1.0,3.1,.320,1.3,2.9,.449,.465,2.0,2.2,.887,0.2,1.0,1.1,0.5,0.5,0.0,0.5,1.1,7.5
9,Washington Wizards,Tomas Satoransky,26,15,0,15.5,1.8,3.7,.491,0.4,0.9,.429,1.4,2.7,.512,.545,1.1,1.4,.810,0.6,1.6,2.2,2.5,0.5,0.0,0.5,1.4,5.1
10,Washington Wizards,Ian Mahinmi,31,24,0,14.3,1.1,2.5,.433,0.0,0.0,,1.1,2.5,.433,.433,1.0,1.3,.750,1.8,1.9,3.7,0.5,0.5,0.4,1.2,3.1,3.2
11,Washington Wizards,Jason Smith,31,9,2,9.0,0.8,3.1,.250,0.1,1.4,.077,0.7,1.7,.400,.268,0.8,0.8,1.000,0.9,0.7,1.6,0.1,0.1,0.6,0.3,1.8,2.4
12,Washington Wizards,Chris McCullough,22,6,0,7.5,1.3,3.5,.381,0.2,0.8,.200,1.2,2.7,.438,.405,0.8,1.3,.625,0.5,1.5,2.0,0.2,0.0,0.3,0.0,1.2,3.7
