,Team,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORD,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Boston Celtics,241.0,37.7,83.6,0.451,11.4,30.5,0.374,26.3,53.1,0.495,18.0,23.4,0.771,9.3,35.7,45.0,22.7,7.9,4.4,14.3,19.8,104.8
1,Cleveland Cavaliers,241.0,40.2,83.4,0.482,11.9,32.2,0.37,28.3,51.2,0.552,19.3,23.5,0.818,8.4,34.1,42.5,22.7,7.0,4.0,14.7,19.5,111.5
2,Toronto Raptors,240.0,41.5,85.0,0.487,11.3,31.9,0.355,30.1,53.1,0.567,17.3,22.1,0.782,8.7,32.9,41.6,23.6,8.5,5.6,14.6,22.5,111.5
3,Detroit Pistons,240.0,39.6,86.1,0.46,11.0,29.1,0.378,28.6,57.0,0.501,14.3,19.1,0.75,10.1,31.8,42.0,22.4,8.0,3.4,14.8,19.7,104.5
4,Philadelphia 76ers,240.0,40.1,88.1,0.455,10.6,29.7,0.357,29.5,58.4,0.504,17.4,23.9,0.729,12.2,37.2,49.3,25.5,8.4,4.9,17.4,23.8,108.2
5,Milwaukee Bucks,241.1,38.8,81.0,0.479,8.9,24.4,0.365,29.9,56.5,0.528,16.6,22.1,0.749,7.0,30.8,37.9,22.3,8.4,5.4,13.9,22.2,103.0
6,Washington Wizards,242.1,38.9,85.5,0.455,9.4,25.7,0.365,29.5,59.8,0.494,18.9,24.0,0.788,9.8,32.8,42.7,21.8,8.1,4.4,14.0,21.8,106.1
7,Indiana Pacers,240.0,41.7,86.8,0.481,10.0,25.0,0.398,31.8,61.8,0.514,15.5,20.0,0.773,9.1,33.5,42.6,23.4,8.1,4.5,14.4,18.7,108.9
8,Miami Heat,241.1,37.0,83.0,0.446,11.7,32.6,0.359,25.3,50.5,0.501,14.3,18.6,0.77,8.0,33.9,42.0,20.8,7.4,4.9,16.2,20.8,100.0
9,New York Knicks,240.0,40.1,85.5,0.469,8.1,23.2,0.349,32.0,62.3,0.513,15.7,19.8,0.794,11.0,34.1,45.0,23.3,6.7,4.7,16.2,20.6,104.0
10,Charlotte Hornets,241.1,37.5,84.8,0.443,8.9,25.5,0.35,28.6,59.4,0.482,21.4,29.4,0.729,10.1,36.8,46.9,20.4,6.1,4.5,13.7,19.0,105.4
11,Orlando Magic,240.0,40.1,86.0,0.466,11.4,30.4,0.376,28.6,55.6,0.515,15.8,21.3,0.744,8.2,33.4,41.6,23.8,7.8,5.1,15.2,20.2,107.4
12,Brooklyn Nets,240.0,39.3,88.4,0.445,12.0,34.0,0.353,27.3,54.4,0.502,19.1,26.0,0.734,10.5,35.0,45.5,22.8,7.3,4.2,15.9,21.7,109.8
13,Atlanta Hawks,240.0,38.7,85.5,0.453,10.6,28.0,0.378,28.1,57.5,0.489,14.7,18.7,0.79,9.1,31.0,40.1,22.7,9.1,3.7,15.8,20.3,102.7
14,Chicago Bulls,241.1,36.2,87.7,0.413,10.8,31.8,0.34,25.4,56.0,0.454,12.4,16.3,0.758,9.5,34.5,44.0,22.1,6.9,3.3,14.4,18.9,95.6
15,Houston Rockets,240.0,39.1,84.2,0.465,16.1,44.0,0.365,23.0,40.1,0.574,19.7,24.5,0.805,9.5,35.3,44.8,23.1,9.2,4.9,16.0,20.7,114.1
16,Golden State Warriors,241.0,44.4,86.3,0.514,12.7,31.5,0.403,31.7,54.8,0.578,17.1,21.1,0.81,8.6,36.2,44.8,31.1,8.8,8.3,16.5,20.4,118.5
17,San Antonio Spurs,240.0,37.7,83.3,0.452,9.1,25.0,0.363,28.6,58.3,0.49,16.2,20.6,0.787,10.3,34.5,44.8,23.0,7.6,6.2,14.5,17.8,100.6
18,Denver Nuggets,240.0,39.5,86.0,0.459,11.0,29.9,0.366,28.5,56.0,0.509,16.9,23.2,0.728,12.2,32.9,45.1,23.2,8.0,4.6,15.9,17.6,106.8
19,Minnesota Timberwolves,241.0,39.6,84.6,0.467,8.3,22.9,0.362,31.3,61.8,0.506,19.9,25.0,0.795,10.8,31.2,42.0,22.6,8.8,3.4,13.9,17.7,107.3
20,Portland Trail Blazers,241.0,37.5,85.5,0.439,9.1,24.2,0.375,28.4,61.3,0.464,18.7,23.0,0.813,10.4,36.5,46.9,18.2,6.5,5.5,15.1,19.7,102.8
21,Utah Jazz,241.0,37.7,82.8,0.455,11.8,30.5,0.388,25.9,52.3,0.495,16.0,19.6,0.814,8.8,31.7,40.5,22.0,9.8,5.3,15.0,20.3,103.3
22,New Orleans Pelicans,241.0,41.0,85.5,0.48,10.9,30.2,0.36,30.2,55.3,0.545,15.9,21.2,0.75,8.6,35.1,43.8,26.2,7.6,4.5,16.3,20.3,108.9
23,Oklahoma City Thunder,240.0,37.8,85.7,0.441,10.2,30.0,0.339,27.7,55.7,0.496,16.1,22.1,0.729,11.4,31.5,43.0,21.0,10.5,4.9,15.5,21.1,102.0
24,Los Angeles Clippers,241.1,37.9,83.7,0.453,10.5,29.5,0.357,27.4,54.2,0.505,18.5,24.5,0.755,10.9,32.0,42.9,20.3,8.0,4.5,15.6,21.4,104.9
25,Memphis Grizzlies,240.0,35.8,80.0,0.447,9.1,26.9,0.338,26.7,53.1,0.503,17.5,21.9,0.799,7.7,31.7,39.3,21.2,7.3,5.5,14.1,22.3,98.1
26,Los Angeles Lakers,242.2,40.3,88.6,0.455,8.3,26.2,0.315,32.0,62.3,0.514,16.9,23.8,0.71,10.3,36.1,46.3,22.7,8.2,5.7,17.5,22.2,105.8
27,Phoenix Suns,241.0,39.9,89.4,0.447,8.6,25.6,0.337,31.3,63.8,0.491,19.2,25.5,0.752,11.3,34.8,46.2,20.2,7.3,5.2,16.3,22.3,107.6
28,Sacramento Kings,240.0,37.3,84.2,0.443,8.0,20.9,0.383,29.3,63.3,0.463,13.0,17.5,0.744,9.1,30.0,39.1,20.3,7.9,4.2,14.7,19.8,95.7
29,Dallas Mavericks,241.0,37.0,84.8,0.437,11.8,32.8,0.361,25.2,52.0,0.485,14.8,19.5,0.762,8.4,33.8,42.2,21.5,6.8,3.6,14.0,20.0,100.8
